Month.Year,AHS District,Infant,Preschool,School,Toddler
2024-09-01,Barre District,94,239,137,63
2024-09-01,Bennington District,133,313,171,109
2024-09-01,Brattleboro District,112,225,97,86
2024-09-01,Burlington District,306,705,622,232
2024-09-01,Hartford District,97,168,129,84
2024-09-01,Middlebury District,93,246,193,65
2024-09-01,Morrisville District,101,200,132,83
2024-09-01,Newport District,68,196,153,54
2024-09-01,Rutland District,163,375,336,143
2024-09-01,Springfield District,84,271,218,73
2024-09-01,St. Albans District,113,327,249,95
2024-09-01,St. Johnsbury District,135,318,284,93
2024-08-01,Barre District,85,248,208,55
2024-08-01,Bennington District,124,347,196,101
2024-08-01,Brattleboro District,96,246,123,77
2024-08-01,Burlington District,287,738,831,210
2024-08-01,Hartford District,84,155,156,74
2024-08-01,Middlebury District,89,259,265,63
2024-08-01,Morrisville District,97,215,153,79
2024-08-01,Newport District,62,197,159,49
2024-08-01,Rutland District,161,393,434,132
2024-08-01,Springfield District,74,257,267,70
2024-08-01,St. Albans District,109,322,273,83
2024-08-01,St. Johnsbury District,134,316,290,87
2024-07-01,Barre District,76,219,196,58
2024-07-01,Bennington District,121,342,187,98
2024-07-01,Brattleboro District,81,220,93,77
2024-07-01,Burlington District,256,694,740,209
2024-07-01,Hartford District,78,144,139,67
2024-07-01,Middlebury District,73,209,249,56
2024-07-01,Morrisville District,89,197,121,59
2024-07-01,Newport District,59,194,153,45
2024-07-01,Rutland District,146,379,423,133
2024-07-01,Springfield District,71,243,256,63
2024-07-01,St. Albans District,106,304,274,80
2024-07-01,St. Johnsbury District,127,303,274,89
