Month.Year,County,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2023-06-01,Addison,249,251,*,*,0,0
2023-06-01,Bennington,330,330,0,0,0,0
2023-06-01,Caledonia,353,*,0,*,0,0
2023-06-01,Chittenden,872,*,0,*,0,0
2023-06-01,Essex,40,48,0,0,0,0
2023-06-01,Franklin,*,307,0,*,0,0
2023-06-01,Grand Isle,40,38,0,0,0,0
2023-06-01,Lamoille,193,187,0,0,0,0
2023-06-01,Orange,113,121,0,0,0,0
2023-06-01,Orleans,189,222,0,0,0,0
2023-06-01,Rutland,457,*,0,*,0,0
2023-06-01,Washington,*,251,0,*,0,0
2023-06-01,Windham,237,262,0,*,*,0
2023-06-01,Windsor,294,*,0,*,0,0
2023-05-01,Addison,216,207,*,*,0,0
2023-05-01,Bennington,302,305,0,0,0,0
2023-05-01,Caledonia,337,*,0,*,0,0
2023-05-01,Chittenden,774,*,0,*,0,0
2023-05-01,Essex,36,47,0,0,0,0
2023-05-01,Franklin,*,286,0,*,0,0
2023-05-01,Grand Isle,34,34,0,0,0,0
2023-05-01,Lamoille,183,178,0,0,0,0
2023-05-01,Orange,110,111,0,0,0,0
2023-05-01,Orleans,195,217,0,0,0,0
2023-05-01,Rutland,*,413,0,*,0,0
2023-05-01,Washington,*,229,0,*,0,0
2023-05-01,Windham,*,235,0,*,0,0
2023-05-01,Windsor,270,*,0,*,0,0
2023-04-01,Addison,219,212,*,*,0,0
2023-04-01,Bennington,301,311,0,0,0,0
2023-04-01,Caledonia,334,*,0,*,0,0
2023-04-01,Chittenden,788,*,0,*,0,0
2023-04-01,Essex,35,48,0,0,0,0
2023-04-01,Franklin,*,286,0,*,0,0
2023-04-01,Grand Isle,32,30,0,0,0,0
2023-04-01,Lamoille,186,178,0,0,0,0
2023-04-01,Orange,112,115,0,0,0,0
2023-04-01,Orleans,203,221,0,0,0,0
2023-04-01,Rutland,*,418,0,*,0,0
2023-04-01,Washington,*,223,0,*,0,0
2023-04-01,Windham,214,249,0,0,0,0
2023-04-01,Windsor,277,*,0,*,0,0
2023-03-01,Addison,206,213,*,*,0,0
2023-03-01,Bennington,293,296,0,0,0,0
2023-03-01,Caledonia,325,*,0,*,0,0
2023-03-01,Chittenden,776,*,0,*,0,0
2023-03-01,Essex,34,48,0,0,0,0
2023-03-01,Franklin,*,276,0,*,0,0
2023-03-01,Grand Isle,32,32,0,0,0,0
2023-03-01,Lamoille,180,178,0,0,0,0
2023-03-01,Orange,110,117,0,0,0,0
2023-03-01,Orleans,199,218,0,0,0,0
2023-03-01,Rutland,419,408,0,0,0,0
2023-03-01,Washington,*,213,0,*,0,0
2023-03-01,Windham,208,244,0,0,0,0
2023-03-01,Windsor,270,*,0,*,0,0
2023-02-01,Addison,*,211,0,*,0,0
2023-02-01,Bennington,295,298,0,0,0,0
2023-02-01,Caledonia,321,*,0,*,0,0
2023-02-01,Chittenden,764,*,0,*,0,0
2023-02-01,Essex,36,47,0,0,0,0
2023-02-01,Franklin,272,*,0,*,0,0
2023-02-01,Grand Isle,32,35,0,0,0,0
2023-02-01,Lamoille,186,174,0,0,0,0
2023-02-01,Orange,108,116,0,0,0,0
2023-02-01,Orleans,195,214,0,0,0,0
2023-02-01,Rutland,436,415,0,0,0,0
2023-02-01,Washington,*,212,0,*,0,0
2023-02-01,Windham,203,236,0,0,0,0
2023-02-01,Windsor,273,*,0,*,0,0
2023-01-01,Addison,*,198,0,*,0,0
2023-01-01,Bennington,288,280,0,0,0,0
2023-01-01,Caledonia,322,*,0,*,0,0
2023-01-01,Chittenden,744,*,0,*,0,0
2023-01-01,Essex,34,46,0,0,0,0
