Month.Year,County,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2023-01-01,Franklin,*,271,0,*,0,0
2023-01-01,Grand Isle,33,34,0,0,0,0
2023-01-01,Lamoille,174,172,0,0,0,0
2023-01-01,Orange,101,108,0,0,0,0
2023-01-01,Orleans,198,211,0,0,0,0
2023-01-01,Rutland,439,416,0,0,0,0
2023-01-01,Washington,*,206,0,*,0,0
2023-01-01,Windham,196,234,0,0,0,0
2023-01-01,Windsor,269,*,0,*,0,0
2022-12-01,Addison,195,*,0,*,0,0
2022-12-01,Bennington,287,280,0,0,0,0
2022-12-01,Caledonia,314,295,0,0,0,0
2022-12-01,Chittenden,734,*,0,*,0,0
2022-12-01,Essex,33,38,0,0,0,0
2022-12-01,Franklin,284,*,0,*,0,0
2022-12-01,Grand Isle,30,34,0,0,0,0
2022-12-01,Lamoille,170,172,0,0,0,0
2022-12-01,Orange,100,103,0,0,0,0
2022-12-01,Orleans,193,207,0,0,0,0
2022-12-01,Rutland,441,410,0,0,0,0
2022-12-01,Washington,*,199,0,*,0,0
2022-12-01,Windham,184,234,0,0,0,0
2022-12-01,Windsor,265,237,0,0,0,0
2022-11-01,Addison,195,198,0,0,0,0
2022-11-01,Bennington,289,278,0,0,0,0
2022-11-01,Caledonia,310,282,0,0,0,0
2022-11-01,Chittenden,730,*,0,*,0,0
2022-11-01,Essex,35,38,0,0,0,0
2022-11-01,Franklin,*,289,0,*,0,0
2022-11-01,Grand Isle,32,34,0,0,0,0
2022-11-01,Lamoille,172,170,0,0,0,0
2022-11-01,Orange,97,104,0,0,0,0
2022-11-01,Orleans,189,204,0,0,0,0
2022-11-01,Rutland,440,418,0,0,0,0
2022-11-01,Washington,*,199,0,*,0,0
2022-11-01,Windham,183,232,0,0,0,0
2022-11-01,Windsor,268,242,0,0,0,0
2022-10-01,Addison,191,193,0,0,0,0
2022-10-01,Bennington,284,274,0,0,0,0
2022-10-01,Caledonia,306,280,0,0,0,0
2022-10-01,Chittenden,715,*,0,*,0,0
2022-10-01,Essex,36,36,0,0,0,0
2022-10-01,Franklin,293,*,0,*,0,0
2022-10-01,Grand Isle,31,35,0,0,0,0
2022-10-01,Lamoille,172,171,0,0,0,0
2022-10-01,Orange,92,97,0,0,0,0
2022-10-01,Orleans,189,208,0,0,0,0
2022-10-01,Rutland,422,411,0,0,0,0
2022-10-01,Washington,*,197,0,*,0,0
2022-10-01,Windham,186,232,0,0,0,0
2022-10-01,Windsor,272,235,0,0,0,0
2022-09-01,Addison,193,189,0,0,0,0
2022-09-01,Bennington,290,288,0,0,0,0
2022-09-01,Caledonia,309,289,0,0,0,0
2022-09-01,Chittenden,735,659,0,0,0,0
2022-09-01,Essex,34,36,0,0,0,0
2022-09-01,Franklin,299,*,0,*,0,0
2022-09-01,Grand Isle,33,36,0,0,0,0
2022-09-01,Lamoille,160,162,0,0,0,0
2022-09-01,Orange,88,103,0,0,0,0
2022-09-01,Orleans,192,207,0,0,0,0
2022-09-01,Rutland,430,413,0,0,0,0
2022-09-01,Washington,*,191,0,*,0,0
2022-09-01,Windham,201,240,0,0,0,0
2022-09-01,Windsor,274,258,0,0,0,0
2022-08-01,Addison,234,242,0,0,0,0
2022-08-01,Bennington,312,324,0,0,0,0
2022-08-01,Caledonia,329,299,0,0,0,0
2022-08-01,Chittenden,785,*,0,*,0,0
2022-08-01,Essex,31,33,0,0,0,0
2022-08-01,Franklin,300,296,0,0,0,0
2022-08-01,Grand Isle,39,35,0,0,0,0
2022-08-01,Lamoille,180,173,0,0,0,0
2022-08-01,Orange,104,127,0,0,0,0
2022-08-01,Orleans,209,207,0,0,0,0
2022-08-01,Rutland,466,463,0,0,0,0
2022-08-01,Washington,191,228,*,*,0,0
2022-08-01,Windham,214,252,0,0,0,0
2022-08-01,Windsor,291,288,0,0,0,0
2022-07-01,Addison,210,222,0,0,0,0
2022-07-01,Bennington,314,324,0,0,0,0
2022-07-01,Caledonia,312,273,0,0,0,0
2022-07-01,Chittenden,721,657,0,0,0,0
2022-07-01,Essex,33,32,0,0,0,0
2022-07-01,Franklin,291,289,0,0,0,0
2022-07-01,Grand Isle,37,35,0,0,0,0
2022-07-01,Lamoille,158,149,0,0,0,0
2022-07-01,Orange,99,115,0,0,0,0
2022-07-01,Orleans,191,195,0,0,0,0
2022-07-01,Rutland,435,438,0,0,0,0
2022-07-01,Washington,*,206,*,0,0,0
2022-07-01,Windham,190,213,0,0,0,0
2022-07-01,Windsor,269,274,0,0,0,0
