geo_type,geography,year,percent
State,Vermont,2014,0.669
State,Vermont,2015,0.651
State,Vermont,2016,0.601
State,Vermont,2017,0.637
State,Vermont,2018,0.644
State,Vermont,2019,0.673
State,Vermont,2020,0.758
State,Vermont,2021,0.775
State,Vermont,2022,0.707
