Month.Year,County,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2022-10-01,Windsor,19,0,469,*,*
2022-09-01,Addison,*,0,326,*,44
2022-09-01,Bennington,*,0,524,*,36
2022-09-01,Caledonia,*,0,551,*,30
2022-09-01,Chittenden,*,0,1261,*,90
2022-09-01,Essex,0,0,70,0,0
2022-09-01,Franklin,*,0,530,*,36
2022-09-01,Grand Isle,0,0,*,0,*
2022-09-01,Lamoille,*,0,312,0,*
2022-09-01,Orange,*,0,178,0,*
2022-09-01,Orleans,*,0,376,*,18
2022-09-01,Rutland,22,0,798,*,*
2022-09-01,Washington,*,0,325,0,*
2022-09-01,Windham,*,0,340,*,62
2022-09-01,Windsor,22,0,495,*,*
2022-08-01,Addison,*,0,422,*,39
2022-08-01,Bennington,*,0,591,*,25
2022-08-01,Caledonia,*,0,582,*,28
2022-08-01,Chittenden,*,0,1389,*,67
2022-08-01,Essex,0,0,64,0,0
2022-08-01,Franklin,15,0,555,0,26
2022-08-01,Grand Isle,0,0,*,0,*
2022-08-01,Lamoille,*,0,343,0,*
2022-08-01,Orange,*,0,218,0,*
2022-08-01,Orleans,*,0,395,*,15
2022-08-01,Rutland,25,0,885,*,*
2022-08-01,Washington,12,0,403,*,*
2022-08-01,Windham,*,0,384,*,51
2022-08-01,Windsor,23,0,544,*,*
2022-07-01,Addison,14,0,401,0,17
2022-07-01,Bennington,21,0,603,*,*
2022-07-01,Caledonia,*,0,559,*,14
2022-07-01,Chittenden,39,0,1304,*,*
2022-07-01,Essex,0,0,65,0,0
2022-07-01,Franklin,12,0,552,0,16
2022-07-01,Grand Isle,0,0,*,0,*
2022-07-01,Lamoille,*,0,301,0,*
2022-07-01,Orange,*,0,207,0,*
2022-07-01,Orleans,*,0,369,*,11
2022-07-01,Rutland,23,0,841,*,*
2022-07-01,Washington,*,0,378,0,*
2022-07-01,Windham,24,0,363,*,*
2022-07-01,Windsor,*,0,514,0,*
