Month.Year,AHS District,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2024-02-01,St. Albans District,*,0,554,*,88
2024-02-01,St. Johnsbury District,*,0,570,*,95
2024-01-01,Barre District,*,0,401,*,47
2024-01-01,Bennington District,*,0,477,*,135
2024-01-01,Brattleboro District,30,*,306,*,73
2024-01-01,Burlington District,34,0,1277,10,231
2024-01-01,Hartford District,*,0,289,*,48
2024-01-01,Middlebury District,*,0,288,*,173
2024-01-01,Morrisville District,*,0,410,*,11
2024-01-01,Newport District,*,0,366,*,38
2024-01-01,Rutland District,*,0,751,*,78
2024-01-01,Springfield District,*,0,436,*,44
2024-01-01,St. Albans District,*,0,559,*,88
2024-01-01,St. Johnsbury District,*,0,572,*,91
2023-12-01,Barre District,*,0,394,*,47
2023-12-01,Bennington District,*,0,478,*,140
2023-12-01,Brattleboro District,32,*,298,*,74
2023-12-01,Burlington District,34,*,1298,*,238
2023-12-01,Hartford District,*,0,281,*,49
2023-12-01,Middlebury District,*,0,282,*,161
2023-12-01,Morrisville District,*,0,411,*,13
2023-12-01,Newport District,*,0,388,*,38
2023-12-01,Rutland District,*,0,726,*,80
2023-12-01,Springfield District,*,0,433,*,40
2023-12-01,St. Albans District,*,0,558,*,87
2023-12-01,St. Johnsbury District,*,0,589,*,89
2023-11-01,Barre District,*,0,389,*,45
2023-11-01,Bennington District,*,0,465,*,138
2023-11-01,Brattleboro District,30,*,279,*,79
2023-11-01,Burlington District,36,*,1284,*,241
2023-11-01,Hartford District,*,0,270,*,42
2023-11-01,Middlebury District,*,0,289,*,153
2023-11-01,Morrisville District,*,0,409,*,14
2023-11-01,Newport District,*,0,385,*,36
2023-11-01,Rutland District,*,0,700,*,84
2023-11-01,Springfield District,*,0,435,*,38
2023-11-01,St. Albans District,*,0,541,*,75
2023-11-01,St. Johnsbury District,*,0,585,*,86
2023-10-01,Barre District,*,0,392,*,43
2023-10-01,Bennington District,*,0,477,*,138
2023-10-01,Brattleboro District,32,*,265,*,77
2023-10-01,Burlington District,35,*,1275,*,246
2023-10-01,Hartford District,*,0,269,*,40
2023-10-01,Middlebury District,*,0,292,*,154
2023-10-01,Morrisville District,*,0,393,*,16
2023-10-01,Newport District,*,0,388,*,36
2023-10-01,Rutland District,*,0,724,*,79
2023-10-01,Springfield District,*,0,422,*,39
2023-10-01,St. Albans District,*,0,548,*,76
2023-10-01,St. Johnsbury District,*,0,616,*,81
2023-09-01,Barre District,*,0,378,*,40
2023-09-01,Bennington District,*,0,492,*,132
2023-09-01,Brattleboro District,33,*,258,*,90
2023-09-01,Burlington District,37,*,1290,*,258
2023-09-01,Hartford District,*,0,270,*,41
2023-09-01,Middlebury District,*,0,305,*,147
2023-09-01,Morrisville District,*,0,383,*,18
2023-09-01,Newport District,*,0,402,*,36
2023-09-01,Rutland District,*,0,741,*,75
2023-09-01,Springfield District,*,0,443,*,39
2023-09-01,St. Albans District,*,0,579,*,76
2023-09-01,St. Johnsbury District,*,0,633,*,84
2023-08-01,Barre District,*,0,417,*,43
2023-08-01,Bennington District,*,0,550,*,111
2023-08-01,Brattleboro District,33,*,263,*,83
2023-08-01,Burlington District,40,*,1401,*,269
2023-08-01,Hartford District,*,0,286,*,38
2023-08-01,Middlebury District,*,0,377,*,131
2023-08-01,Morrisville District,*,0,417,*,20
2023-08-01,Newport District,*,0,387,*,39
2023-08-01,Rutland District,*,0,799,*,69
2023-08-01,Springfield District,*,0,465,*,37
2023-08-01,St. Albans District,*,0,582,*,81
2023-08-01,St. Johnsbury District,*,0,632,*,76
2023-07-01,Barre District,*,0,413,*,34
2023-07-01,Bennington District,*,0,556,*,103
2023-07-01,Brattleboro District,27,*,256,*,81
2023-07-01,Burlington District,42,*,1295,*,242
2023-07-01,Hartford District,*,0,280,*,34
2023-07-01,Middlebury District,*,0,361,*,98
2023-07-01,Morrisville District,*,0,358,0,*
2023-07-01,Newport District,*,*,381,*,38
2023-07-01,Rutland District,*,0,810,*,63
2023-07-01,Springfield District,37,0,434,*,*
2023-07-01,St. Albans District,*,0,592,*,86
2023-07-01,St. Johnsbury District,*,0,637,*,69
