Month.Year,AHS District,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2024-06-01,Barre District,*,0,540,*,54
2024-06-01,Bennington District,*,0,624,*,117
2024-06-01,Brattleboro District,*,0,398,*,77
2024-06-01,Burlington District,49,0,1664,16,260
2024-06-01,Hartford District,*,0,383,*,54
2024-06-01,Middlebury District,*,0,335,*,279
2024-06-01,Morrisville District,*,0,478,*,14
2024-06-01,Newport District,*,0,407,*,55
2024-06-01,Rutland District,45,0,968,14,88
2024-06-01,Springfield District,43,0,536,13,54
2024-06-01,St. Albans District,*,0,651,*,90
2024-06-01,St. Johnsbury District,*,0,650,*,141
2024-05-01,Barre District,*,0,447,*,49
2024-05-01,Bennington District,*,0,534,*,125
2024-05-01,Brattleboro District,*,0,351,*,74
2024-05-01,Burlington District,41,0,1425,12,234
2024-05-01,Hartford District,*,0,325,*,50
2024-05-01,Middlebury District,*,0,270,*,232
2024-05-01,Morrisville District,*,0,451,*,13
2024-05-01,Newport District,*,0,390,*,55
2024-05-01,Rutland District,*,0,819,*,79
2024-05-01,Springfield District,30,0,458,11,48
2024-05-01,St. Albans District,*,0,587,*,86
2024-05-01,St. Johnsbury District,*,0,615,*,125
2024-04-01,Barre District,*,0,434,*,51
2024-04-01,Bennington District,*,0,530,*,129
2024-04-01,Brattleboro District,*,0,352,*,74
2024-04-01,Burlington District,41,0,1447,10,234
2024-04-01,Hartford District,*,0,310,*,51
2024-04-01,Middlebury District,*,0,281,*,216
2024-04-01,Morrisville District,*,0,444,*,12
2024-04-01,Newport District,*,0,378,*,50
2024-04-01,Rutland District,*,0,794,*,85
2024-04-01,Springfield District,30,0,460,13,47
2024-04-01,St. Albans District,*,0,583,*,92
2024-04-01,St. Johnsbury District,*,0,599,*,122
2024-03-01,Barre District,*,0,412,*,52
2024-03-01,Bennington District,*,0,504,*,132
2024-03-01,Brattleboro District,30,*,331,*,73
2024-03-01,Burlington District,36,0,1376,10,238
2024-03-01,Hartford District,*,0,293,*,50
2024-03-01,Middlebury District,*,0,283,*,194
2024-03-01,Morrisville District,*,0,423,*,13
2024-03-01,Newport District,*,0,375,*,43
2024-03-01,Rutland District,*,0,767,*,80
2024-03-01,Springfield District,30,0,444,11,47
2024-03-01,St. Albans District,*,0,549,*,92
2024-03-01,St. Johnsbury District,*,0,587,*,106
2024-02-01,Barre District,*,0,399,*,48
2024-02-01,Bennington District,*,0,484,*,133
2024-02-01,Brattleboro District,29,*,321,*,73
2024-02-01,Burlington District,35,0,1332,10,236
2024-02-01,Hartford District,*,0,288,*,48
2024-02-01,Middlebury District,*,0,286,*,180
2024-02-01,Morrisville District,*,0,413,*,11
2024-02-01,Newport District,*,0,380,*,41
2024-02-01,Rutland District,*,0,760,*,80
2024-02-01,Springfield District,*,0,434,*,45
