Geo type,Geography,Year,Value
State,Vermont,2022,"5,314"
State,Vermont,2021,"5,073"
State,Vermont,2020,"5,127"
State,Vermont,2019,"5,361"
State,Vermont,2018,"5,432"
State,Vermont,2017,5655
