Month.Year,County,None of the above,Qualified Immigrant,US Citizen,Unreported
2024-09-01,Addison,0,0,559,38
2024-09-01,Bennington,*,*,638,80
2024-09-01,Caledonia,0,*,726,*
2024-09-01,Chittenden,*,*,1700,118
2024-09-01,Essex,0,0,*,*
2024-09-01,Franklin,0,0,639,67
2024-09-01,Grand Isle,0,0,*,*
2024-09-01,Lamoille,*,*,410,23
2024-09-01,Orange,0,0,312,17
2024-09-01,Orleans,0,*,445,*
2024-09-01,Rutland,*,*,917,73
2024-09-01,Washington,*,*,447,40
2024-09-01,Windham,*,*,597,35
2024-09-01,Windsor,0,*,726,*
2024-08-01,Addison,0,*,642,*
2024-08-01,Bennington,0,*,679,*
2024-08-01,Caledonia,0,*,721,*
2024-08-01,Chittenden,*,*,1891,131
2024-08-01,Essex,0,0,*,*
2024-08-01,Franklin,0,0,639,63
2024-08-01,Grand Isle,0,0,*,*
2024-08-01,Lamoille,*,0,428,*
2024-08-01,Orange,0,0,306,17
2024-08-01,Orleans,0,*,441,*
2024-08-01,Rutland,*,*,1011,79
2024-08-01,Washington,0,12,487,44
2024-08-01,Windham,*,*,612,38
2024-08-01,Windsor,*,*,755,37
2024-07-01,Addison,0,*,555,*
2024-07-01,Bennington,0,*,662,*
2024-07-01,Caledonia,0,*,681,*
2024-07-01,Chittenden,*,*,1741,127
2024-07-01,Essex,0,0,*,*
2024-07-01,Franklin,0,0,626,66
2024-07-01,Grand Isle,0,0,*,*
2024-07-01,Lamoille,*,0,369,*
2024-07-01,Orange,0,0,281,17
2024-07-01,Orleans,0,*,410,*
2024-07-01,Rutland,*,*,988,69
2024-07-01,Washington,0,12,442,42
2024-07-01,Windham,0,*,535,*
2024-07-01,Windsor,*,*,708,37
