Geo type,Geography,Year,Value
State,Vermont,2014,143
Country,US,2014,50
State,Vermont,2015,156
Country,US,2015,52
State,Vermont,2016,164
Country,US,2016,54
State,Vermont,2017,169
Country,US,2017,56
State,Vermont,2018,168
Country,US,2018,59
State,Vermont,2019,171
Country,US,2019,60
State,Vermont,2020,138
Country,US,2020,54
State,Vermont,2021,137
Country,US,2021,55
State,Vermont,2022,161
Country,US,2022,59
State,Vermont,2023,171.2
Country,US,2023,60
