geo_type,geography,year,category,value
State,Vermont,2021,Total,5794
State,Vermont,2021,Under 5,3517
State,Vermont,2022,Total,5446
State,Vermont,2022,Under 5,3547
State,Vermont,2023,Total,5367
State,Vermont,2023,Under 5,3358
