Geo type,Geography ,Category ,Year,Value
Supervisory Union/School District,Addison Central SD,Math Native Hawaiian or Pacific Islander,2023,0
Supervisory Union/School District,Addison Central SD,Math White,2023,0.359649
Supervisory Union/School District,Addison Northwest SD,English All Students,2023,***
Supervisory Union/School District,Addison Northwest SD,English No Special Ed,2023,***
Supervisory Union/School District,Addison Northwest SD,English Special Ed,2023,***
Supervisory Union/School District,Addison Northwest SD,English ELL,2023,0
Supervisory Union/School District,Addison Northwest SD,English Not ELL,2023,***
Supervisory Union/School District,Addison Northwest SD,English FRL,2023,***
Supervisory Union/School District,Addison Northwest SD,English Not FRL,2023,0.473684
Supervisory Union/School District,Addison Northwest SD,English Foster,2023,***
Supervisory Union/School District,Addison Northwest SD,English Not Foster,2023,***
Supervisory Union/School District,Addison Northwest SD,English Female,2023,***
Supervisory Union/School District,Addison Northwest SD,English Male,2023,0.458333
Supervisory Union/School District,Addison Northwest SD,English Historically Marginalized,2023,***
Supervisory Union/School District,Addison Northwest SD,English Not Historically Marginalized,2023,0.548387
Supervisory Union/School District,Addison Northwest SD,English McKinney Vento Eligible,2023,***
Supervisory Union/School District,Addison Northwest SD,English Not McKinney Vento Eligible,2023,***
Supervisory Union/School District,Addison Northwest SD,English Migrant,2023,0
Supervisory Union/School District,Addison Northwest SD,English Not Migrant,2023,***
Supervisory Union/School District,Addison Northwest SD,English Military,2023,0
Supervisory Union/School District,Addison Northwest SD,English Not Military,2023,***
Supervisory Union/School District,Addison Northwest SD,English American Indian or Alaskan Native,2023,0
Supervisory Union/School District,Addison Northwest SD,English Asian,2023,***
Supervisory Union/School District,Addison Northwest SD,English Black,2023,0
Supervisory Union/School District,Addison Northwest SD,English Hispanic,2023,***
Supervisory Union/School District,Addison Northwest SD,English Native Hawaiian or Pacific Islander,2023,0
Supervisory Union/School District,Addison Northwest SD,English White,2023,0.431373
Supervisory Union/School District,Addison Northwest SD,Math All Students,2023,***
Supervisory Union/School District,Addison Northwest SD,Math No Special Ed,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Special Ed,2023,***
Supervisory Union/School District,Addison Northwest SD,Math ELL,2023,0
Supervisory Union/School District,Addison Northwest SD,Math Not ELL,2023,***
Supervisory Union/School District,Addison Northwest SD,Math FRL,2023,***
Supervisory Union/School District,Addison Northwest SD,Math Not FRL,2023,0.473684
