Month.Year,AHS District,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2024-12-01,Barre District,296,356,0,*,*,0
2024-12-01,Bennington District,*,411,0,*,0,0
2024-12-01,Brattleboro District,269,284,0,*,*,0
2024-12-01,Burlington District,1171,1179,*,16,*,0
2024-12-01,Hartford District,287,*,0,*,0,0
2024-12-01,Middlebury District,333,*,0,*,0,0
2024-12-01,Morrisville District,272,293,*,*,0,0
2024-12-01,Newport District,216,270,0,0,0,0
2024-12-01,Rutland District,571,*,0,*,0,0
2024-12-01,Springfield District,303,315,0,0,0,0
2024-12-01,St. Albans District,472,456,0,0,0,0
2024-12-01,St. Johnsbury District,452,388,0,*,0,*
2024-11-01,Barre District,296,356,0,*,*,0
2024-11-01,Bennington District,*,411,0,*,0,0
2024-11-01,Brattleboro District,269,284,0,*,*,0
2024-11-01,Burlington District,1171,1179,*,16,*,0
2024-11-01,Hartford District,287,*,0,*,0,0
2024-11-01,Middlebury District,333,*,0,*,0,0
2024-11-01,Morrisville District,272,293,*,*,0,0
2024-11-01,Newport District,216,270,0,0,0,0
2024-11-01,Rutland District,571,*,0,*,0,0
2024-11-01,Springfield District,303,315,0,0,0,0
2024-11-01,St. Albans District,472,456,0,0,0,0
2024-11-01,St. Johnsbury District,452,388,0,*,0,*
2024-10-01,Barre District,*,267,0,*,0,0
2024-10-01,Bennington District,386,*,0,*,0,0
2024-10-01,Brattleboro District,211,246,0,0,0,0
2024-10-01,Burlington District,1136,1106,*,*,*,*
2024-10-01,Hartford District,291,*,0,*,0,0
2024-10-01,Middlebury District,*,356,0,*,0,0
2024-10-01,Morrisville District,300,327,0,*,*,0
2024-10-01,Newport District,219,*,0,*,0,0
2024-10-01,Rutland District,516,543,*,*,0,0
2024-10-01,Springfield District,272,295,0,*,*,0
2024-10-01,St. Albans District,*,473,0,*,0,0
2024-10-01,St. Johnsbury District,*,495,0,*,0,0
