geo type,geography,year,category,value
AHSD,Morrisville District,2023-05,Unknown,0
AHSD,Newport District,2023-05,Female,187
AHSD,Newport District,2023-05,Male,219
AHSD,Newport District,2023-05,Non-binary,0
AHSD,Newport District,2023-05,Prefer not to answer,0
AHSD,Newport District,2023-05,Prefer to self-describe,0
AHSD,Newport District,2023-05,Unknown,0
AHSD,Rutland District,2023-05,Female,*
AHSD,Rutland District,2023-05,Male,413
AHSD,Rutland District,2023-05,Non-binary,0
AHSD,Rutland District,2023-05,Prefer not to answer,*
AHSD,Rutland District,2023-05,Prefer to self-describe,0
AHSD,Rutland District,2023-05,Unknown,0
AHSD,Springfield District,2023-05,Female,230
AHSD,Springfield District,2023-05,Male,225
AHSD,Springfield District,2023-05,Non-binary,0
AHSD,Springfield District,2023-05,Prefer not to answer,0
AHSD,Springfield District,2023-05,Prefer to self-describe,0
AHSD,Springfield District,2023-05,Unknown,0
AHSD,St. Albans District,2023-05,Female,*
AHSD,St. Albans District,2023-05,Male,320
AHSD,St. Albans District,2023-05,Non-binary,0
AHSD,St. Albans District,2023-05,Prefer not to answer,*
AHSD,St. Albans District,2023-05,Prefer to self-describe,0
AHSD,St. Albans District,2023-05,Unknown,0
AHSD,St. Johnsbury District,2023-05,Female,367
AHSD,St. Johnsbury District,2023-05,Male,*
AHSD,St. Johnsbury District,2023-05,Non-binary,0
AHSD,St. Johnsbury District,2023-05,Prefer not to answer,*
AHSD,St. Johnsbury District,2023-05,Prefer to self-describe,0
AHSD,St. Johnsbury District,2023-05,Unknown,0
AHSD,Barre District,2023-04,Female,*
AHSD,Barre District,2023-04,Male,242
AHSD,Barre District,2023-04,Non-binary,0
AHSD,Barre District,2023-04,Prefer not to answer,*
AHSD,Barre District,2023-04,Prefer to self-describe,0
AHSD,Barre District,2023-04,Unknown,0
AHSD,Bennington District,2023-04,Female,301
AHSD,Bennington District,2023-04,Male,311
AHSD,Bennington District,2023-04,Non-binary,0
AHSD,Bennington District,2023-04,Prefer not to answer,0
AHSD,Bennington District,2023-04,Prefer to self-describe,0
AHSD,Bennington District,2023-04,Unknown,0
AHSD,Brattleboro District,2023-04,Female,175
AHSD,Brattleboro District,2023-04,Male,191
AHSD,Brattleboro District,2023-04,Non-binary,0
AHSD,Brattleboro District,2023-04,Prefer not to answer,0
AHSD,Brattleboro District,2023-04,Prefer to self-describe,0
AHSD,Brattleboro District,2023-04,Unknown,0
AHSD,Burlington District,2023-04,Female,788
AHSD,Burlington District,2023-04,Male,*
AHSD,Burlington District,2023-04,Non-binary,0
