Month.Year,County,Infant,Preschool,School,Toddler
2024-12-01,Addison,96,276,206,87
2024-12-01,Bennington,150,338,181,106
2024-12-01,Caledonia,121,280,271,96
2024-12-01,Chittenden,423,894,733,318
2024-12-01,Essex,21,49,25,13
2024-12-01,Franklin,147,323,235,121
2024-12-01,Grand Isle,*,41,36,*
2024-12-01,Lamoille,87,204,125,64
2024-12-01,Orange,73,152,92,70
2024-12-01,Orleans,90,189,151,62
2024-12-01,Rutland,192,429,345,150
2024-12-01,Washington,112,264,146,88
2024-12-01,Windham,138,299,125,117
2024-12-01,Windsor,118,279,272,109
2024-11-01,Addison,106,282,209,82
2024-11-01,Bennington,149,323,179,111
2024-11-01,Caledonia,124,281,268,97
2024-11-01,Chittenden,430,874,716,309
2024-11-01,Essex,22,49,26,13
2024-11-01,Franklin,140,318,235,116
2024-11-01,Grand Isle,*,40,33,*
2024-11-01,Lamoille,94,208,121,64
2024-11-01,Orange,76,149,87,71
2024-11-01,Orleans,87,188,148,68
2024-11-01,Rutland,186,437,361,147
2024-11-01,Washington,113,270,144,78
2024-11-01,Windham,145,297,121,111
2024-11-01,Windsor,123,281,274,111
2024-10-01,Addison,140,275,196,103
2024-10-01,Bennington,137,310,206,117
2024-10-01,Caledonia,154,337,255,116
2024-10-01,Chittenden,438,847,649,317
2024-10-01,Essex,24,59,39,20
2024-10-01,Franklin,144,313,241,118
2024-10-01,Grand Isle,*,32,29,*
2024-10-01,Lamoille,88,248,165,71
2024-10-01,Orange,71,142,100,50
2024-10-01,Orleans,78,174,121,54
2024-10-01,Rutland,174,411,316,161
2024-10-01,Washington,82,181,142,63
2024-10-01,Windham,91,227,189,82
2024-10-01,Windsor,133,299,209,75
