Month.Year,AHS District,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2024-12-01,Barre District,*,*,*,*,13,*,527,16,81
2024-12-01,Bennington District,*,*,18,0,*,11,652,30,56
2024-12-01,Brattleboro District,*,*,12,0,12,*,408,27,88
2024-12-01,Burlington District,*,47,255,*,30,30,1345,138,519
2024-12-01,Hartford District,*,*,12,0,*,*,488,*,46
2024-12-01,Middlebury District,0,*,*,0,*,*,166,*,487
2024-12-01,Morrisville District,*,0,*,*,*,*,460,28,64
2024-12-01,Newport District,*,0,*,0,*,*,391,*,80
2024-12-01,Rutland District,0,*,38,0,*,*,900,27,136
2024-12-01,Springfield District,*,*,*,0,*,10,499,21,74
2024-12-01,St. Albans District,13,*,12,*,*,*,705,31,151
2024-12-01,St. Johnsbury District,0,*,*,*,0,*,299,11,522
2024-11-01,Barre District,*,*,*,0,11,*,537,16,72
2024-11-01,Bennington District,*,*,19,0,*,10,647,30,48
2024-11-01,Brattleboro District,*,*,13,0,13,*,401,31,84
2024-11-01,Burlington District,*,48,253,*,29,29,1328,135,503
2024-11-01,Hartford District,*,*,12,*,*,*,483,*,47
2024-11-01,Middlebury District,0,*,*,0,*,*,168,*,500
2024-11-01,Morrisville District,*,0,*,*,*,*,468,28,59
2024-11-01,Newport District,*,0,*,0,*,*,389,*,83
2024-11-01,Rutland District,0,*,37,0,*,*,930,28,122
2024-11-01,Springfield District,*,*,*,0,*,10,520,22,64
2024-11-01,St. Albans District,12,*,13,*,*,*,691,30,142
2024-11-01,St. Johnsbury District,0,*,*,*,0,*,293,13,526
2024-10-01,Barre District,*,*,22,*,*,0,341,11,114
2024-10-01,Bennington District,*,*,36,0,*,*,530,33,152
2024-10-01,Brattleboro District,0,*,22,0,*,*,292,22,112
2024-10-01,Burlington District,10,18,88,0,15,21,1517,80,502
2024-10-01,Hartford District,*,*,21,0,*,*,398,18,109
2024-10-01,Middlebury District,0,*,26,*,*,*,489,22,153
2024-10-01,Morrisville District,*,*,20,0,15,*,410,16,152
2024-10-01,Newport District,*,*,16,0,*,*,287,*,99
2024-10-01,Rutland District,*,*,46,0,11,12,723,30,234
2024-10-01,Springfield District,0,*,20,*,*,*,393,22,124
2024-10-01,St. Albans District,0,*,32,0,*,*,623,30,201
2024-10-01,St. Johnsbury District,*,*,31,0,*,*,671,40,230
