Month.Year,County,Infant,Preschool,School,Toddler
2023-07-01,Essex,10,37,22,13
2023-07-01,Franklin,79,248,234,64
2023-07-01,Grand Isle,*,35,26,*
2023-07-01,Lamoille,55,132,100,36
2023-07-01,Orange,37,101,63,28
2023-07-01,Orleans,49,185,147,54
2023-07-01,Rutland,125,322,366,99
2023-07-01,Washington,31,191,150,45
2023-07-01,Windham,79,227,92,79
2023-07-01,Windsor,78,198,241,65
