Month.Year,County,None of the above,Qualified Immigrant,US Citizen,Unreported
2024-06-01,Addison,0,0,594,36
2024-06-01,Bennington,0,*,685,*
2024-06-01,Caledonia,0,*,690,*
2024-06-01,Chittenden,0,36,1819,134
2024-06-01,Essex,0,0,*,*
2024-06-01,Franklin,0,0,618,67
2024-06-01,Grand Isle,0,0,*,*
2024-06-01,Lamoille,0,0,405,28
2024-06-01,Orange,0,0,308,19
2024-06-01,Orleans,0,*,429,*
2024-06-01,Rutland,*,*,1018,75
2024-06-01,Washington,0,*,496,*
2024-06-01,Windham,*,*,583,36
2024-06-01,Windsor,0,*,735,*
2024-05-01,Addison,0,0,480,35
2024-05-01,Bennington,0,*,606,*
2024-05-01,Caledonia,0,*,648,*
2024-05-01,Chittenden,0,31,1555,126
2024-05-01,Essex,0,0,*,*
2024-05-01,Franklin,0,0,568,60
2024-05-01,Grand Isle,0,0,*,*
2024-05-01,Lamoille,0,0,379,27
2024-05-01,Orange,0,0,270,17
2024-05-01,Orleans,0,0,416,38
2024-05-01,Rutland,0,19,854,70
2024-05-01,Washington,0,*,417,*
2024-05-01,Windham,*,*,525,35
2024-05-01,Windsor,0,*,606,*
2024-04-01,Addison,0,0,474,38
2024-04-01,Bennington,0,*,604,*
2024-04-01,Caledonia,0,*,628,*
2024-04-01,Chittenden,0,30,1568,134
2024-04-01,Essex,0,0,*,*
2024-04-01,Franklin,0,0,567,57
2024-04-01,Grand Isle,0,0,*,*
2024-04-01,Lamoille,0,0,370,31
2024-04-01,Orange,0,0,259,15
2024-04-01,Orleans,0,0,402,38
2024-04-01,Rutland,0,*,847,*
2024-04-01,Washington,0,*,410,*
2024-04-01,Windham,*,*,525,36
2024-04-01,Windsor,0,*,606,*
2024-03-01,Addison,0,0,454,37
2024-03-01,Bennington,0,*,576,*
2024-03-01,Caledonia,0,*,599,*
2024-03-01,Chittenden,0,31,1496,133
2024-03-01,Essex,0,0,*,*
2024-03-01,Franklin,0,0,530,64
2024-03-01,Grand Isle,0,0,*,*
2024-03-01,Lamoille,0,0,354,31
2024-03-01,Orange,0,0,248,17
2024-03-01,Orleans,0,0,389,42
2024-03-01,Rutland,0,*,817,*
2024-03-01,Washington,0,*,385,*
2024-03-01,Windham,*,*,497,36
2024-03-01,Windsor,0,*,578,*
2024-02-01,Addison,0,0,442,41
2024-02-01,Bennington,0,*,554,*
2024-02-01,Caledonia,0,*,574,*
2024-02-01,Chittenden,0,27,1446,140
2024-02-01,Essex,0,0,*,*
2024-02-01,Franklin,0,0,530,64
2024-02-01,Grand Isle,0,0,*,*
2024-02-01,Lamoille,0,0,341,31
2024-02-01,Orange,0,0,235,17
2024-02-01,Orleans,0,0,391,44
2024-02-01,Rutland,0,*,807,*
2024-02-01,Washington,0,*,373,*
2024-02-01,Windham,*,*,483,36
2024-02-01,Windsor,0,*,566,*
2024-01-01,Addison,0,0,433,43
2024-01-01,Bennington,0,*,546,*
2024-01-01,Caledonia,0,*,571,*
2024-01-01,Chittenden,*,*,1394,134
2024-01-01,Essex,0,0,*,*
2024-01-01,Franklin,0,0,543,62
2024-01-01,Grand Isle,0,0,*,*
2024-01-01,Lamoille,0,0,341,29
2024-01-01,Orange,0,0,231,17
2024-01-01,Orleans,0,0,375,48
2024-01-01,Rutland,0,*,792,*
2024-01-01,Washington,0,*,372,*
2024-01-01,Windham,*,*,467,32
2024-01-01,Windsor,0,*,574,*
2023-12-01,Addison,0,0,414,44
2023-12-01,Bennington,0,*,549,*
2023-12-01,Caledonia,0,*,586,*
2023-12-01,Chittenden,*,*,1410,144
2023-12-01,Essex,0,0,*,*
2023-12-01,Franklin,0,0,541,60
2023-12-01,Grand Isle,0,0,*,*
2023-12-01,Lamoille,0,0,343,30
2023-12-01,Orange,0,0,224,18
2023-12-01,Orleans,0,0,392,50
2023-12-01,Rutland,0,*,771,*
2023-12-01,Washington,0,*,371,*
2023-12-01,Windham,*,*,465,32
2023-12-01,Windsor,0,*,562,*
2023-11-01,Addison,0,0,415,42
2023-11-01,Bennington,0,*,536,*
2023-11-01,Caledonia,0,*,572,*
2023-11-01,Chittenden,*,*,1385,157
2023-11-01,Essex,0,0,*,*
2023-11-01,Franklin,0,0,523,54
2023-11-01,Grand Isle,0,0,*,*
2023-11-01,Lamoille,0,0,344,31
2023-11-01,Orange,0,0,225,18
2023-11-01,Orleans,0,0,389,47
2023-11-01,Rutland,0,*,750,*
2023-11-01,Washington,0,*,356,*
2023-11-01,Windham,0,*,456,*
2023-11-01,Windsor,0,*,544,*
2023-10-01,Addison,0,0,418,42
2023-10-01,Bennington,0,*,550,*
2023-10-01,Caledonia,0,*,594,*
2023-10-01,Chittenden,*,*,1383,153
2023-10-01,Essex,0,0,*,*
2023-10-01,Franklin,*,0,534,*
2023-10-01,Grand Isle,0,0,52,10
2023-10-01,Lamoille,0,0,331,35
2023-10-01,Orange,0,0,221,20
2023-10-01,Orleans,0,0,389,49
2023-10-01,Rutland,0,*,768,*
2023-10-01,Washington,0,*,355,*
2023-10-01,Windham,0,*,442,*
2023-10-01,Windsor,0,*,534,*
2023-09-01,Addison,0,0,422,46
2023-09-01,Bennington,0,*,558,*
2023-09-01,Caledonia,0,*,610,*
2023-09-01,Chittenden,*,*,1406,159
2023-09-01,Essex,0,0,*,*
2023-09-01,Franklin,*,0,558,*
2023-09-01,Grand Isle,0,0,56,10
2023-09-01,Lamoille,0,0,315,41
2023-09-01,Orange,0,0,217,17
2023-09-01,Orleans,0,0,401,52
2023-09-01,Rutland,0,*,783,*
2023-09-01,Washington,0,*,343,*
2023-09-01,Windham,*,*,457,33
2023-09-01,Windsor,0,0,552,41
2023-08-01,Addison,0,0,475,53
2023-08-01,Bennington,0,*,580,*
2023-08-01,Caledonia,0,*,597,*
2023-08-01,Chittenden,*,*,1502,189
2023-08-01,Essex,0,0,*,*
2023-08-01,Franklin,*,0,554,*
2023-08-01,Grand Isle,0,0,62,10
2023-08-01,Lamoille,0,*,336,*
2023-08-01,Orange,0,0,222,16
2023-08-01,Orleans,0,0,390,53
2023-08-01,Rutland,0,*,833,*
2023-08-01,Washington,0,*,372,*
2023-08-01,Windham,*,*,467,31
2023-08-01,Windsor,0,0,566,44
2023-07-01,Addison,0,*,425,*
2023-07-01,Bennington,0,*,570,*
2023-07-01,Caledonia,0,*,594,*
2023-07-01,Chittenden,*,*,1374,193
2023-07-01,Essex,0,0,*,*
