geo type,geography,year,category,value
AHSD,Newport District,2023-04,Unreported,58
AHSD,Rutland District,2023-04,None of the above,0
AHSD,Rutland District,2023-04,Qualified Immigrant,*
AHSD,Rutland District,2023-04,US Citizen,729
AHSD,Rutland District,2023-04,Unreported,*
AHSD,Springfield District,2023-04,None of the above,0
AHSD,Springfield District,2023-04,Qualified Immigrant,0
AHSD,Springfield District,2023-04,US Citizen,400
AHSD,Springfield District,2023-04,Unreported,65
AHSD,St. Albans District,2023-04,None of the above,*
AHSD,St. Albans District,2023-04,Qualified Immigrant,0
AHSD,St. Albans District,2023-04,US Citizen,565
AHSD,St. Albans District,2023-04,Unreported,*
AHSD,St. Johnsbury District,2023-04,None of the above,0
AHSD,St. Johnsbury District,2023-04,Qualified Immigrant,0
AHSD,St. Johnsbury District,2023-04,US Citizen,628
AHSD,St. Johnsbury District,2023-04,Unreported,72
AHSD,Barre District,2023-03,None of the above,0
AHSD,Barre District,2023-03,Qualified Immigrant,*
AHSD,Barre District,2023-03,US Citizen,361
AHSD,Barre District,2023-03,Unreported,*
AHSD,Bennington District,2023-03,None of the above,0
AHSD,Bennington District,2023-03,Qualified Immigrant,*
AHSD,Bennington District,2023-03,US Citizen,471
AHSD,Bennington District,2023-03,Unreported,*
AHSD,Brattleboro District,2023-03,None of the above,*
AHSD,Brattleboro District,2023-03,Qualified Immigrant,*
AHSD,Brattleboro District,2023-03,US Citizen,308
AHSD,Brattleboro District,2023-03,Unreported,43
AHSD,Burlington District,2023-03,None of the above,*
AHSD,Burlington District,2023-03,Qualified Immigrant,*
AHSD,Burlington District,2023-03,US Citizen,1200
AHSD,Burlington District,2023-03,Unreported,257
AHSD,Hartford District,2023-03,None of the above,0
AHSD,Hartford District,2023-03,Qualified Immigrant,*
AHSD,Hartford District,2023-03,US Citizen,262
AHSD,Hartford District,2023-03,Unreported,*
AHSD,Middlebury District,2023-03,None of the above,0
AHSD,Middlebury District,2023-03,Qualified Immigrant,*
AHSD,Middlebury District,2023-03,US Citizen,358
