Month.Year,County,Infant,Preschool,School,Toddler
2023-06-01,Addison,46,183,229,44
2023-06-01,Bennington,105,334,136,85
2023-06-01,Caledonia,96,246,249,75
2023-06-01,Chittenden,218,591,702,166
2023-06-01,Essex,13,41,24,10
2023-06-01,Franklin,83,238,225,62
2023-06-01,Grand Isle,*,36,25,*
2023-06-01,Lamoille,53,162,128,37
2023-06-01,Orange,39,102,67,26
2023-06-01,Orleans,49,172,138,52
2023-06-01,Rutland,124,329,359,102
2023-06-01,Washington,31,206,164,48
2023-06-01,Windham,85,243,105,69
2023-06-01,Windsor,74,212,222,57
2023-05-01,Addison,50,175,160,40
2023-05-01,Bennington,99,320,102,86
2023-05-01,Caledonia,92,235,234,75
2023-05-01,Chittenden,213,565,543,161
2023-05-01,Essex,15,37,21,10
2023-05-01,Franklin,88,227,198,58
2023-05-01,Grand Isle,*,29,21,*
2023-05-01,Lamoille,51,157,111,42
2023-05-01,Orange,38,101,57,25
2023-05-01,Orleans,54,163,144,51
2023-05-01,Rutland,125,317,281,101
2023-05-01,Washington,37,199,120,44
2023-05-01,Windham,87,225,69,68
2023-05-01,Windsor,76,203,191,53
2023-04-01,Addison,51,175,168,39
2023-04-01,Bennington,94,310,114,94
2023-04-01,Caledonia,94,240,226,70
2023-04-01,Chittenden,221,561,579,155
2023-04-01,Essex,16,34,23,10
2023-04-01,Franklin,88,225,200,60
2023-04-01,Grand Isle,*,26,19,*
2023-04-01,Lamoille,55,162,109,38
2023-04-01,Orange,39,103,62,23
2023-04-01,Orleans,54,167,151,52
2023-04-01,Rutland,126,315,292,105
2023-04-01,Washington,39,196,120,37
2023-04-01,Windham,86,229,81,67
2023-04-01,Windsor,78,210,192,54
2023-03-01,Addison,48,174,155,44
2023-03-01,Bennington,93,291,99,106
2023-03-01,Caledonia,88,243,218,67
2023-03-01,Chittenden,223,543,558,153
2023-03-01,Essex,*,35,21,*
2023-03-01,Franklin,77,217,197,59
2023-03-01,Grand Isle,*,25,18,*
2023-03-01,Lamoille,57,157,107,37
2023-03-01,Orange,35,100,66,26
2023-03-01,Orleans,54,162,149,52
2023-03-01,Rutland,130,315,277,105
2023-03-01,Washington,41,188,115,33
2023-03-01,Windham,85,229,78,60
2023-03-01,Windsor,82,202,183,49
2023-02-01,Addison,46,175,149,45
2023-02-01,Bennington,86,293,108,106
2023-02-01,Caledonia,89,240,214,72
2023-02-01,Chittenden,221,525,542,155
2023-02-01,Essex,*,34,23,*
