Month.Year,County,Infant,Preschool,School,Toddler
2023-02-01,Franklin,74,208,197,69
2023-02-01,Grand Isle,*,25,*,18
2023-02-01,Lamoille,57,158,109,36
2023-02-01,Orange,33,96,69,26
2023-02-01,Orleans,52,162,144,51
2023-02-01,Rutland,135,308,298,110
2023-02-01,Washington,42,184,111,34
2023-02-01,Windham,87,221,74,57
2023-02-01,Windsor,82,208,178,50
2023-01-01,Addison,42,167,141,47
2023-01-01,Bennington,90,284,92,102
2023-01-01,Caledonia,87,240,216,76
2023-01-01,Chittenden,216,521,515,165
2023-01-01,Essex,*,32,24,*
2023-01-01,Franklin,70,205,200,72
2023-01-01,Grand Isle,*,26,18,*
2023-01-01,Lamoille,55,156,103,32
2023-01-01,Orange,31,93,62,23
2023-01-01,Orleans,51,159,142,57
2023-01-01,Rutland,139,301,306,109
2023-01-01,Washington,44,176,103,35
2023-01-01,Windham,81,212,70,67
2023-01-01,Windsor,79,207,168,49
2022-12-01,Addison,43,156,144,47
2022-12-01,Bennington,90,282,92,103
2022-12-01,Caledonia,79,231,221,78
2022-12-01,Chittenden,209,507,520,161
2022-12-01,Essex,*,33,16,*
2022-12-01,Franklin,71,214,206,74
2022-12-01,Grand Isle,*,23,*,17
2022-12-01,Lamoille,57,144,106,35
2022-12-01,Orange,30,83,64,26
2022-12-01,Orleans,51,160,136,53
2022-12-01,Rutland,132,293,307,119
2022-12-01,Washington,49,162,101,37
2022-12-01,Windham,82,203,65,68
2022-12-01,Windsor,79,207,166,50
2022-11-01,Addison,43,154,145,51
2022-11-01,Bennington,92,280,91,104
2022-11-01,Caledonia,79,234,203,76
2022-11-01,Chittenden,216,506,511,163
2022-11-01,Essex,*,32,19,*
2022-11-01,Franklin,80,212,214,75
2022-11-01,Grand Isle,*,23,*,18
2022-11-01,Lamoille,57,144,105,36
2022-11-01,Orange,31,82,59,29
2022-11-01,Orleans,50,159,132,52
2022-11-01,Rutland,141,291,308,118
2022-11-01,Washington,50,159,99,40
2022-11-01,Windham,80,197,69,69
2022-11-01,Windsor,88,201,167,54
2022-10-01,Addison,45,153,135,51
2022-10-01,Bennington,93,269,96,100
2022-10-01,Caledonia,77,233,202,74
2022-10-01,Chittenden,212,493,487,177
2022-10-01,Essex,*,33,19,*
2022-10-01,Franklin,81,215,207,78
2022-10-01,Grand Isle,*,24,20,*
2022-10-01,Lamoille,54,138,107,44
2022-10-01,Orange,30,77,53,29
2022-10-01,Orleans,51,160,132,54
2022-10-01,Rutland,138,291,292,112
2022-10-01,Washington,53,153,100,46
2022-10-01,Windham,86,191,70,71
2022-10-01,Windsor,89,208,153,57
2022-09-01,Addison,48,152,136,46
2022-09-01,Bennington,93,275,108,102
2022-09-01,Caledonia,78,239,206,75
2022-09-01,Chittenden,203,505,502,184
2022-09-01,Essex,*,28,22,*
2022-09-01,Franklin,76,208,212,86
2022-09-01,Grand Isle,*,21,24,*
2022-09-01,Lamoille,49,137,94,42
2022-09-01,Orange,28,82,52,29
2022-09-01,Orleans,53,161,139,46
2022-09-01,Rutland,144,295,290,114
2022-09-01,Washington,51,154,92,45
2022-09-01,Windham,89,209,73,70
2022-09-01,Windsor,92,229,154,57
2022-08-01,Addison,47,185,199,45
2022-08-01,Bennington,87,311,136,102
2022-08-01,Caledonia,80,243,229,76
2022-08-01,Chittenden,203,554,564,178
2022-08-01,Essex,*,24,20,*
2022-08-01,Franklin,69,215,236,76
2022-08-01,Grand Isle,*,22,30,*
2022-08-01,Lamoille,46,144,119,44
2022-08-01,Orange,28,104,72,27
2022-08-01,Orleans,49,162,158,47
2022-08-01,Rutland,138,333,347,111
2022-08-01,Washington,48,179,143,51
2022-08-01,Windham,76,235,94,61
2022-08-01,Windsor,88,235,199,57
2022-07-01,Addison,44,170,182,36
2022-07-01,Bennington,88,317,135,98
2022-07-01,Caledonia,68,229,215,73
2022-07-01,Chittenden,184,535,498,161
2022-07-01,Essex,*,22,24,*
2022-07-01,Franklin,70,211,228,71
2022-07-01,Grand Isle,*,20,32,*
2022-07-01,Lamoille,43,129,95,40
2022-07-01,Orange,26,97,66,25
2022-07-01,Orleans,47,151,143,45
2022-07-01,Rutland,135,326,313,99
2022-07-01,Washington,34,171,136,53
2022-07-01,Windham,55,216,79,53
2022-07-01,Windsor,81,228,181,53
