Geo Type,Geography,Year,Value
State,Vermont,2010,62575
State,Vermont,2011,66190
State,Vermont,2012,66047
State,Vermont,2013,68382
State ,Vermont,2014,67154
State ,Vermont,2015,75595
State,Vermont,2016,74805
State,Vermont,2017,74426
State,Vermont,2018,80452
State,Vermont,2019,83458
State,Vermont,2020,--
State,Vermont,2021,90556
State,Vermont,2022,96345
