Month.Year,County,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2024-06-01,Addison,0,0,0,0,0,*,*,0,524
2024-06-01,Bennington,*,*,17,0,*,*,643,36,64
2024-06-01,Caledonia,0,*,*,0,0,0,274,17,437
2024-06-01,Chittenden,*,48,235,0,24,*,1036,90,542
2024-06-01,Essex,0,0,*,0,0,*,46,0,57
2024-06-01,Franklin,*,0,11,*,*,*,555,19,88
2024-06-01,Grand Isle,*,*,*,0,0,*,65,*,*
2024-06-01,Lamoille,*,0,11,*,*,*,358,26,30
2024-06-01,Orange,0,*,*,0,*,*,262,*,47
2024-06-01,Orleans,0,0,*,0,*,0,327,*,131
2024-06-01,Rutland,*,*,40,0,11,*,933,34,93
2024-06-01,Washington,0,*,11,0,*,*,474,17,42
2024-06-01,Windham,*,*,17,0,11,14,467,33,80
2024-06-01,Windsor,*,*,11,*,*,12,627,31,84
2024-05-01,Addison,*,0,0,0,0,*,76,0,436
2024-05-01,Bennington,0,*,14,0,0,*,573,36,57
2024-05-01,Caledonia,0,*,*,0,0,0,258,14,409
2024-05-01,Chittenden,*,41,218,0,16,*,885,77,462
2024-05-01,Essex,0,0,*,0,0,*,41,0,54
2024-05-01,Franklin,*,0,10,*,*,*,514,17,78
2024-05-01,Grand Isle,*,*,*,0,0,*,52,*,*
2024-05-01,Lamoille,*,0,11,*,*,*,340,22,28
2024-05-01,Orange,0,*,*,0,*,*,235,*,41
2024-05-01,Orleans,0,0,*,0,*,0,314,*,131
2024-05-01,Rutland,0,*,31,0,*,0,793,28,84
2024-05-01,Washington,0,*,*,0,*,*,395,16,38
2024-05-01,Windham,*,*,15,0,10,13,413,27,82
2024-05-01,Windsor,*,*,10,*,*,12,514,29,71
2024-04-01,Addison,*,0,0,0,0,*,77,0,432
2024-04-01,Bennington,0,*,15,0,0,*,577,34,56
2024-04-01,Caledonia,*,*,*,0,0,0,251,13,397
2024-04-01,Chittenden,*,41,217,0,*,16,887,76,479
2024-04-01,Essex,0,0,*,0,0,*,34,0,53
2024-04-01,Franklin,*,0,10,*,*,*,510,17,79
2024-04-01,Grand Isle,*,*,*,0,0,*,54,*,*
2024-04-01,Lamoille,*,0,10,*,*,*,336,23,27
2024-04-01,Orange,0,*,*,0,*,*,223,*,41
2024-04-01,Orleans,0,0,*,0,*,0,301,*,131
2024-04-01,Rutland,0,*,24,0,*,0,774,28,89
2024-04-01,Washington,0,*,*,0,*,*,383,16,41
2024-04-01,Windham,*,*,15,0,10,11,407,30,87
2024-04-01,Windsor,*,*,10,*,*,14,512,30,72
2024-03-01,Addison,*,0,0,0,0,*,73,0,415
2024-03-01,Bennington,*,*,15,0,0,*,553,32,56
2024-03-01,Caledonia,*,*,*,0,0,0,243,12,378
2024-03-01,Chittenden,*,39,219,0,*,16,810,72,490
2024-03-01,Essex,0,0,0,0,0,*,*,0,49
2024-03-01,Franklin,*,0,10,*,*,*,484,17,76
2024-03-01,Grand Isle,*,*,*,0,0,*,51,*,*
2024-03-01,Lamoille,*,0,10,*,*,*,320,22,27
2024-03-01,Orange,0,*,*,0,*,0,213,*,44
2024-03-01,Orleans,0,0,*,0,*,0,290,*,133
2024-03-01,Rutland,0,*,25,0,*,0,746,28,85
2024-03-01,Washington,0,*,*,0,*,*,362,15,40
2024-03-01,Windham,*,*,14,0,10,11,383,25,88
2024-03-01,Windsor,*,*,10,*,*,13,494,28,66
2024-02-01,Addison,*,0,0,0,0,*,76,0,404
2024-02-01,Bennington,*,*,15,0,0,*,542,33,50
2024-02-01,Caledonia,*,*,*,0,0,*,238,*,361
2024-02-01,Chittenden,*,39,212,0,*,16,775,69,491
2024-02-01,Essex,0,0,0,0,0,*,*,0,45
2024-02-01,Franklin,*,0,11,*,*,*,480,16,78
2024-02-01,Grand Isle,*,*,*,0,0,*,51,*,*
2024-02-01,Lamoille,*,0,*,*,*,*,311,22,27
2024-02-01,Orange,0,*,*,0,*,0,206,*,39
2024-02-01,Orleans,0,0,*,0,*,0,293,*,135
2024-02-01,Rutland,0,*,25,0,*,0,734,29,87
2024-02-01,Washington,0,*,*,0,*,*,353,15,38
2024-02-01,Windham,*,*,16,0,10,11,370,22,88
2024-02-01,Windsor,*,*,10,*,*,10,481,28,71
2024-01-01,Addison,*,0,0,0,0,*,76,0,397
2024-01-01,Bennington,*,*,15,0,0,*,542,32,48
2024-01-01,Caledonia,*,*,*,0,0,*,238,*,363
2024-01-01,Chittenden,*,39,212,0,*,16,775,63,487
2024-01-01,Essex,0,0,0,0,0,*,*,0,47
2024-01-01,Franklin,*,0,11,*,*,*,480,17,80
2024-01-01,Grand Isle,*,*,*,0,0,*,51,*,*
2024-01-01,Lamoille,*,0,*,*,*,*,311,22,30
2024-01-01,Orange,0,*,*,0,*,0,206,*,38
2024-01-01,Orleans,0,0,*,0,*,0,293,*,140
2024-01-01,Rutland,0,*,25,0,*,0,734,32,88
2024-01-01,Washington,0,*,*,0,*,*,353,16,37
2024-01-01,Windham,*,*,16,0,10,11,370,22,92
2024-01-01,Windsor,*,*,10,*,*,10,481,29,75
2023-12-01,Addison,0,0,0,0,0,*,*,0,380
2023-12-01,Bennington,*,*,12,0,0,0,546,30,52
2023-12-01,Caledonia,*,*,*,0,*,*,233,11,377
2023-12-01,Chittenden,*,40,198,0,*,15,752,64,501
2023-12-01,Essex,0,0,0,0,0,*,*,0,47
2023-12-01,Franklin,*,0,11,0,*,*,491,13,78
2023-12-01,Grand Isle,*,*,*,0,0,0,45,*,11
2023-12-01,Lamoille,*,0,*,*,*,*,303,22,34
2023-12-01,Orange,0,*,*,0,*,0,195,*,41
2023-12-01,Orleans,0,0,*,0,*,0,276,*,158
2023-12-01,Rutland,0,*,20,0,*,0,693,33,93
2023-12-01,Washington,0,*,*,0,*,*,347,16,34
2023-12-01,Windham,*,*,14,0,*,10,351,22,92
2023-12-01,Windsor,*,*,*,*,0,*,483,28,69
2023-11-01,Addison,0,0,0,0,0,*,*,0,383
2023-11-01,Bennington,*,*,11,0,0,0,537,30,49
2023-11-01,Caledonia,*,*,*,0,*,*,235,10,365
2023-11-01,Chittenden,*,44,196,0,*,13,742,67,499
2023-11-01,Essex,0,0,0,0,0,*,*,0,46
2023-11-01,Franklin,0,0,11,0,*,*,468,13,79
2023-11-01,Grand Isle,*,*,*,0,0,0,43,*,12
2023-11-01,Lamoille,0,0,*,*,*,0,299,21,43
2023-11-01,Orange,0,*,*,0,*,0,191,*,41
2023-11-01,Orleans,0,0,*,0,*,0,269,*,159
2023-11-01,Rutland,0,*,18,0,*,*,672,34,92
2023-11-01,Washington,0,*,*,0,*,*,336,16,32
2023-11-01,Windham,*,*,11,0,*,*,328,25,102
2023-11-01,Windsor,*,*,*,*,0,*,471,26,68
2023-10-01,Addison,0,0,0,0,0,*,*,0,390
2023-10-01,Bennington,0,*,*,0,0,0,550,30,52
2023-10-01,Caledonia,*,*,*,0,*,*,234,10,386
2023-10-01,Chittenden,*,44,195,0,*,14,717,68,519
2023-10-01,Essex,0,0,0,0,0,*,*,0,50
2023-10-01,Franklin,0,0,10,0,*,*,481,13,78
2023-10-01,Grand Isle,*,*,*,0,0,0,40,*,12
2023-10-01,Lamoille,0,0,*,*,*,0,286,22,47
2023-10-01,Orange,0,*,*,0,*,0,191,*,41
2023-10-01,Orleans,0,0,*,0,*,0,270,*,160
2023-10-01,Rutland,0,*,19,0,*,*,690,34,90
2023-10-01,Washington,0,*,*,0,10,*,335,17,29
2023-10-01,Windham,*,*,*,0,*,10,313,23,110
2023-10-01,Windsor,0,*,*,*,0,*,461,29,66
2023-09-01,Addison,0,0,*,0,0,*,75,0,391
2023-09-01,Bennington,*,*,11,0,0,*,555,27,56
2023-09-01,Caledonia,*,*,*,0,*,*,244,*,399
2023-09-01,Chittenden,*,39,203,0,*,15,707,69,551
2023-09-01,Essex,0,0,0,0,0,*,*,0,49
2023-09-01,Franklin,0,0,10,0,*,*,500,15,81
2023-09-01,Grand Isle,*,*,*,0,0,0,44,*,12
2023-09-01,Lamoille,0,0,10,*,*,0,260,22,61
2023-09-01,Orange,0,*,*,0,*,0,178,*,47
2023-09-01,Orleans,0,0,*,0,*,0,274,0,168
2023-09-01,Rutland,0,*,24,0,*,*,700,37,87
2023-09-01,Washington,0,*,*,0,*,*,323,16,31
2023-09-01,Windham,*,*,*,0,*,12,312,23,131
2023-09-01,Windsor,0,*,*,*,0,*,479,25,72
2023-08-01,Addison,0,0,*,0,0,*,86,0,440
2023-08-01,Bennington,*,*,*,0,*,*,579,36,55
2023-08-01,Caledonia,*,*,*,0,*,*,241,*,397
2023-08-01,Chittenden,*,40,207,*,*,14,750,72,623
2023-08-01,Essex,0,0,0,0,0,*,*,0,52
2023-08-01,Franklin,0,0,*,0,*,*,501,17,85
2023-08-01,Grand Isle,*,*,*,0,0,0,48,*,14
2023-08-01,Lamoille,0,0,*,*,*,0,275,20,81
2023-08-01,Orange,0,*,*,0,*,0,181,*,46
2023-08-01,Orleans,0,0,*,0,*,0,260,0,172
2023-08-01,Rutland,0,*,21,0,*,*,750,37,90
2023-08-01,Washington,*,*,*,0,15,*,354,17,33
2023-08-01,Windham,*,*,*,0,*,*,308,20,150
2023-08-01,Windsor,*,*,*,*,0,*,492,24,76
2023-07-01,Addison,0,0,*,0,0,*,81,0,394
2023-07-01,Bennington,*,*,*,0,*,*,568,32,70
2023-07-01,Caledonia,*,*,*,0,*,*,241,*,402
2023-07-01,Chittenden,*,36,168,*,*,10,681,72,610
2023-07-01,Essex,0,0,0,0,0,*,*,0,51
2023-07-01,Franklin,0,0,*,0,*,*,505,18,89
2023-07-01,Grand Isle,*,*,*,0,0,0,54,*,14
2023-07-01,Lamoille,0,0,*,*,0,0,226,14,73
2023-07-01,Orange,0,*,*,0,0,0,175,*,44
2023-07-01,Orleans,0,0,*,0,*,*,241,0,182
2023-07-01,Rutland,0,*,22,0,*,*,755,37,88
2023-07-01,Washington,*,*,*,0,12,*,339,16,38
2023-07-01,Windham,*,*,*,0,*,*,270,17,169
