Month.Year,AHS District,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Pacific Islander,Prefer not to answer,Prefer to self-describe,White,Two or More Races,Unreported
2024-06-01,Barre District,0,*,13,0,*,*,528,18,46
2024-06-01,Bennington District,*,*,17,0,*,*,643,36,64
2024-06-01,Brattleboro District,*,*,15,0,11,13,380,27,72
2024-06-01,Burlington District,*,48,235,0,24,*,1036,90,542
2024-06-01,Hartford District,*,*,*,*,*,0,370,17,51
2024-06-01,Middlebury District,0,0,0,0,0,*,*,0,524
2024-06-01,Morrisville District,*,0,11,*,*,*,422,31,31
2024-06-01,Newport District,0,0,*,0,*,*,323,*,134
2024-06-01,Rutland District,*,*,40,0,11,*,933,34,93
2024-06-01,Springfield District,*,*,*,0,*,13,536,25,61
2024-06-01,St. Albans District,*,*,12,*,*,*,620,23,96
2024-06-01,St. Johnsbury District,0,*,*,0,0,0,276,13,513
2024-05-01,Barre District,0,*,*,0,*,*,441,17,42
2024-05-01,Bennington District,0,*,14,0,0,*,573,36,57
2024-05-01,Brattleboro District,*,*,13,0,10,12,333,22,74
2024-05-01,Burlington District,*,41,218,0,16,*,885,77,462
2024-05-01,Hartford District,*,*,*,*,*,*,320,12,45
2024-05-01,Middlebury District,*,0,0,0,0,*,76,0,436
2024-05-01,Morrisville District,*,0,11,*,*,*,400,27,29
2024-05-01,Newport District,0,0,*,0,*,*,306,*,135
2024-05-01,Rutland District,0,*,31,0,*,0,793,28,84
2024-05-01,Springfield District,0,*,*,0,*,12,449,24,52
2024-05-01,St. Albans District,*,*,11,*,*,*,566,21,85
2024-05-01,St. Johnsbury District,0,*,*,0,0,0,261,10,477
2024-04-01,Barre District,0,*,*,0,*,*,428,17,45
2024-04-01,Bennington District,0,*,15,0,0,*,577,34,56
2024-04-01,Brattleboro District,*,*,13,0,10,10,329,24,79
2024-04-01,Burlington District,*,41,217,0,*,16,887,76,479
2024-04-01,Hartford District,*,*,*,*,*,*,304,13,47
2024-04-01,Middlebury District,*,0,0,0,0,*,77,0,432
2024-04-01,Morrisville District,*,0,10,*,*,*,393,28,28
2024-04-01,Newport District,0,0,*,0,*,*,289,*,136
2024-04-01,Rutland District,0,*,24,0,*,0,774,28,89
2024-04-01,Springfield District,0,*,*,0,*,14,450,25,51
2024-04-01,St. Albans District,*,*,11,*,*,*,564,21,87
2024-04-01,St. Johnsbury District,*,*,*,0,0,0,254,*,463
2024-03-01,Barre District,0,*,*,0,*,*,407,16,44
2024-03-01,Bennington District,*,*,15,0,0,*,553,32,56
2024-03-01,Brattleboro District,*,*,12,0,10,10,306,20,80
2024-03-01,Burlington District,*,39,219,0,*,16,810,72,490
2024-03-01,Hartford District,*,*,*,*,*,*,287,11,47
2024-03-01,Middlebury District,*,0,0,0,0,*,73,0,415
2024-03-01,Morrisville District,*,0,10,*,*,*,374,26,28
2024-03-01,Newport District,0,0,*,0,*,*,278,*,137
2024-03-01,Rutland District,0,*,25,0,*,0,746,28,85
2024-03-01,Springfield District,0,*,*,0,*,13,437,24,48
2024-03-01,St. Albans District,*,*,11,*,*,*,535,20,84
2024-03-01,St. Johnsbury District,*,*,*,0,0,0,248,*,441
2024-02-01,Barre District,0,*,*,0,*,*,395,16,42
2024-02-01,Bennington District,*,*,15,0,0,*,542,33,50
2024-02-01,Brattleboro District,*,*,12,0,10,10,296,17,82
2024-02-01,Burlington District,*,39,212,0,*,16,775,69,491
2024-02-01,Hartford District,*,*,*,*,*,0,281,10,45
2024-02-01,Middlebury District,*,0,0,0,0,*,76,0,404
2024-02-01,Morrisville District,*,0,*,*,*,*,366,25,28
2024-02-01,Newport District,0,0,*,0,*,*,280,0,139
2024-02-01,Rutland District,0,*,25,0,*,0,734,29,87
2024-02-01,Springfield District,0,*,*,0,0,11,423,24,49
2024-02-01,St. Albans District,*,*,12,*,*,*,531,19,87
2024-02-01,St. Johnsbury District,*,*,*,0,0,*,242,*,419
2024-01-01,Barre District,0,*,*,0,*,*,392,16,44
2024-01-01,Bennington District,*,*,14,0,0,0,542,32,48
2024-01-01,Brattleboro District,*,*,12,0,*,10,279,17,86
2024-01-01,Burlington District,*,39,196,0,*,15,743,63,487
2024-01-01,Hartford District,*,*,*,*,*,0,284,10,45
2024-01-01,Middlebury District,*,0,0,0,0,*,77,0,397
2024-01-01,Morrisville District,*,0,*,*,*,*,360,25,31
2024-01-01,Newport District,0,0,*,0,*,0,259,0,144
2024-01-01,Rutland District,0,*,23,0,*,0,718,32,88
2024-01-01,Springfield District,0,*,10,0,0,*,421,25,51
