Month.Year,AHS District,Infant,Preschool,School,Toddler
2023-06-01,Barre District,37,224,182,57
2023-06-01,Bennington District,105,334,136,85
2023-06-01,Brattleboro District,65,196,80,57
2023-06-01,Burlington District,218,591,702,166
2023-06-01,Hartford District,57,137,103,30
2023-06-01,Middlebury District,46,183,229,44
2023-06-01,Morrisville District,63,190,138,43
2023-06-01,Newport District,45,169,138,52
2023-06-01,Rutland District,124,329,359,102
2023-06-01,Springfield District,63,192,186,52
2023-06-01,St. Albans District,93,274,250,69
2023-06-01,St. Johnsbury District,110,276,270,83
2023-05-01,Barre District,45,216,135,51
2023-05-01,Bennington District,99,320,102,86
2023-05-01,Brattleboro District,67,178,55,56
2023-05-01,Burlington District,213,565,543,161
2023-05-01,Hartford District,53,130,92,31
2023-05-01,Middlebury District,50,175,160,40
2023-05-01,Morrisville District,61,179,121,49
2023-05-01,Newport District,50,162,144,50
2023-05-01,Rutland District,125,317,281,101
2023-05-01,Springfield District,67,191,149,48
2023-05-01,St. Albans District,95,256,219,69
2023-05-01,St. Johnsbury District,107,264,251,83
2023-04-01,Barre District,46,212,136,45
2023-04-01,Bennington District,94,310,114,94
2023-04-01,Brattleboro District,64,179,66,57
2023-04-01,Burlington District,221,561,579,155
2023-04-01,Hartford District,56,135,94,31
2023-04-01,Middlebury District,51,175,168,39
2023-04-01,Morrisville District,63,182,119,47
2023-04-01,Newport District,53,166,151,50
2023-04-01,Rutland District,126,315,292,105
2023-04-01,Springfield District,69,199,151,46
2023-04-01,St. Albans District,93,251,219,72
2023-04-01,St. Johnsbury District,110,268,247,75
2023-03-01,Barre District,47,204,134,41
2023-03-01,Bennington District,93,291,99,106
2023-03-01,Brattleboro District,63,179,65,48
2023-03-01,Burlington District,223,543,558,153
2023-03-01,Hartford District,55,133,90,31
2023-03-01,Middlebury District,48,174,155,44
2023-03-01,Morrisville District,64,176,116,45
2023-03-01,Newport District,54,162,150,51
2023-03-01,Rutland District,130,315,277,105
2023-03-01,Springfield District,72,192,146,44
2023-03-01,St. Albans District,83,242,215,74
2023-03-01,St. Johnsbury District,104,270,236,73
2023-02-01,Barre District,48,198,129,42
2023-02-01,Bennington District,86,293,108,106
2023-02-01,Brattleboro District,66,172,61,45
2023-02-01,Burlington District,221,525,542,155
2023-02-01,Hartford District,54,136,87,29
2023-02-01,Middlebury District,46,175,149,45
2023-02-01,Morrisville District,64,177,121,42
2023-02-01,Newport District,52,162,146,51
2023-02-01,Rutland District,135,308,298,110
2023-02-01,Springfield District,70,193,145,47
2023-02-01,St. Albans District,80,233,215,87
2023-02-01,St. Johnsbury District,105,265,233,79
2023-01-01,Barre District,50,191,118,42
2023-01-01,Bennington District,90,284,92,102
2023-01-01,Brattleboro District,63,164,58,54
2023-01-01,Burlington District,216,521,515,165
2023-01-01,Hartford District,51,130,81,25
2023-01-01,Middlebury District,42,167,141,47
2023-01-01,Morrisville District,60,174,115,38
2023-01-01,Newport District,52,159,144,58
2023-01-01,Rutland District,139,301,306,109
2023-01-01,Springfield District,65,193,135,49
2023-01-01,St. Albans District,76,231,218,89
2023-01-01,St. Johnsbury District,103,264,237,81
2022-12-01,Barre District,56,175,116,45
2022-12-01,Bennington District,90,282,92,103
2022-12-01,Brattleboro District,64,158,55,56
2022-12-01,Burlington District,209,507,520,161
2022-12-01,Hartford District,46,126,82,31
2022-12-01,Middlebury District,43,156,144,47
2022-12-01,Morrisville District,61,166,117,41
2022-12-01,Newport District,51,157,137,55
2022-12-01,Rutland District,132,293,307,119
2022-12-01,Springfield District,66,187,132,47
2022-12-01,St. Albans District,78,237,223,91
