geo type,geography,year,category,value
AHSD,St. Johnsbury District,2023-04,Preschool,268
AHSD,St. Johnsbury District,2023-04,School,247
AHSD,St. Johnsbury District,2023-04,Toddler,75
AHSD,Barre District,2023-03,Infant,47
AHSD,Barre District,2023-03,Preschool,204
AHSD,Barre District,2023-03,School,134
AHSD,Barre District,2023-03,Toddler,41
AHSD,Bennington District,2023-03,Infant,93
AHSD,Bennington District,2023-03,Preschool,291
AHSD,Bennington District,2023-03,School,99
AHSD,Bennington District,2023-03,Toddler,106
AHSD,Brattleboro District,2023-03,Infant,63
AHSD,Brattleboro District,2023-03,Preschool,179
AHSD,Brattleboro District,2023-03,School,65
AHSD,Brattleboro District,2023-03,Toddler,48
AHSD,Burlington District,2023-03,Infant,223
AHSD,Burlington District,2023-03,Preschool,543
AHSD,Burlington District,2023-03,School,558
AHSD,Burlington District,2023-03,Toddler,153
AHSD,Hartford District,2023-03,Infant,55
AHSD,Hartford District,2023-03,Preschool,133
AHSD,Hartford District,2023-03,School,90
AHSD,Hartford District,2023-03,Toddler,31
AHSD,Middlebury District,2023-03,Infant,48
AHSD,Middlebury District,2023-03,Preschool,174
AHSD,Middlebury District,2023-03,School,155
AHSD,Middlebury District,2023-03,Toddler,44
AHSD,Morrisville District,2023-03,Infant,64
AHSD,Morrisville District,2023-03,Preschool,176
AHSD,Morrisville District,2023-03,School,116
AHSD,Morrisville District,2023-03,Toddler,45
AHSD,Newport District,2023-03,Infant,54
AHSD,Newport District,2023-03,Preschool,162
AHSD,Newport District,2023-03,School,150
AHSD,Newport District,2023-03,Toddler,51
AHSD,Rutland District,2023-03,Infant,130
AHSD,Rutland District,2023-03,Preschool,315
AHSD,Rutland District,2023-03,School,277
AHSD,Rutland District,2023-03,Toddler,105
AHSD,Springfield District,2023-03,Infant,72
AHSD,Springfield District,2023-03,Preschool,192
AHSD,Springfield District,2023-03,School,146
AHSD,Springfield District,2023-03,Toddler,44
AHSD,St. Albans District,2023-03,Infant,83
AHSD,St. Albans District,2023-03,Preschool,242
AHSD,St. Albans District,2023-03,School,215
AHSD,St. Albans District,2023-03,Toddler,74
AHSD,St. Johnsbury District,2023-03,Infant,104
AHSD,St. Johnsbury District,2023-03,Preschool,270
AHSD,St. Johnsbury District,2023-03,School,236
AHSD,St. Johnsbury District,2023-03,Toddler,73
AHSD,Barre District,2023-02,Infant,48
AHSD,Barre District,2023-02,Preschool,198
AHSD,Barre District,2023-02,School,129
AHSD,Barre District,2023-02,Toddler,42
AHSD,Bennington District,2023-02,Infant,86
AHSD,Bennington District,2023-02,Preschool,293
AHSD,Bennington District,2023-02,School,108
AHSD,Bennington District,2023-02,Toddler,106
AHSD,Brattleboro District,2023-02,Infant,66
AHSD,Brattleboro District,2023-02,Preschool,172
AHSD,Brattleboro District,2023-02,School,61
AHSD,Brattleboro District,2023-02,Toddler,45
AHSD,Burlington District,2023-02,Infant,221
AHSD,Burlington District,2023-02,Preschool,525
AHSD,Burlington District,2023-02,School,542
AHSD,Burlington District,2023-02,Toddler,155
AHSD,Hartford District,2023-02,Infant,54
AHSD,Hartford District,2023-02,Preschool,136
AHSD,Hartford District,2023-02,School,87
AHSD,Hartford District,2023-02,Toddler,29
AHSD,Middlebury District,2023-02,Infant,46
AHSD,Middlebury District,2023-02,Preschool,175
AHSD,Middlebury District,2023-02,School,149
AHSD,Middlebury District,2023-02,Toddler,45
AHSD,Morrisville District,2023-02,Infant,64
AHSD,Morrisville District,2023-02,Preschool,177
AHSD,Morrisville District,2023-02,School,121
AHSD,Morrisville District,2023-02,Toddler,42
AHSD,Newport District,2023-02,Infant,52
AHSD,Newport District,2023-02,Preschool,162
AHSD,Newport District,2023-02,School,146
AHSD,Newport District,2023-02,Toddler,51
AHSD,Rutland District,2023-02,Infant,135
AHSD,Rutland District,2023-02,Preschool,308
AHSD,Rutland District,2023-02,School,298
AHSD,Rutland District,2023-02,Toddler,110
AHSD,Springfield District,2023-02,Infant,70
AHSD,Springfield District,2023-02,Preschool,193
AHSD,Springfield District,2023-02,School,145
AHSD,Springfield District,2023-02,Toddler,47
AHSD,St. Albans District,2023-02,Infant,80
AHSD,St. Albans District,2023-02,Preschool,233
AHSD,St. Albans District,2023-02,School,215
AHSD,St. Albans District,2023-02,Toddler,87
AHSD,St. Johnsbury District,2023-02,Infant,105
AHSD,St. Johnsbury District,2023-02,Preschool,265
AHSD,St. Johnsbury District,2023-02,School,233
AHSD,St. Johnsbury District,2023-02,Toddler,79
AHSD,Barre District,2023-01,Infant,50
AHSD,Barre District,2023-01,Preschool,191
AHSD,Barre District,2023-01,School,118
AHSD,Barre District,2023-01,Toddler,42
AHSD,Bennington District,2023-01,Infant,90
AHSD,Bennington District,2023-01,Preschool,284
AHSD,Bennington District,2023-01,School,92
AHSD,Bennington District,2023-01,Toddler,102
AHSD,Brattleboro District,2023-01,Infant,63
AHSD,Brattleboro District,2023-01,Preschool,164
AHSD,Brattleboro District,2023-01,School,58
AHSD,Brattleboro District,2023-01,Toddler,54
AHSD,Burlington District,2023-01,Infant,216
AHSD,Burlington District,2023-01,Preschool,521
AHSD,Burlington District,2023-01,School,515
AHSD,Burlington District,2023-01,Toddler,165
AHSD,Hartford District,2023-01,Infant,51
AHSD,Hartford District,2023-01,Preschool,130
AHSD,Hartford District,2023-01,School,81
AHSD,Hartford District,2023-01,Toddler,25
AHSD,Middlebury District,2023-01,Infant,42
AHSD,Middlebury District,2023-01,Preschool,167
AHSD,Middlebury District,2023-01,School,141
AHSD,Middlebury District,2023-01,Toddler,47
AHSD,Morrisville District,2023-01,Infant,60
AHSD,Morrisville District,2023-01,Preschool,174
AHSD,Morrisville District,2023-01,School,115
AHSD,Morrisville District,2023-01,Toddler,38
AHSD,Newport District,2023-01,Infant,52
AHSD,Newport District,2023-01,Preschool,159
AHSD,Newport District,2023-01,School,144
AHSD,Newport District,2023-01,Toddler,58
AHSD,Rutland District,2023-01,Infant,139
AHSD,Rutland District,2023-01,Preschool,301
AHSD,Rutland District,2023-01,School,306
AHSD,Rutland District,2023-01,Toddler,109
AHSD,Springfield District,2023-01,Infant,65
