Month.Year,County,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2024-06-01,Addison,*,0,335,*,279
2024-06-01,Bennington,*,0,624,*,117
2024-06-01,Caledonia,*,0,593,*,122
2024-06-01,Chittenden,49,0,1664,16,260
2024-06-01,Essex,0,0,82,*,*
2024-06-01,Franklin,*,0,576,*,83
2024-06-01,Grand Isle,*,0,75,0,*
2024-06-01,Lamoille,*,0,411,*,13
2024-06-01,Orange,*,0,288,*,29
2024-06-01,Orleans,*,0,414,0,*
2024-06-01,Rutland,45,0,968,14,88
2024-06-01,Washington,*,0,478,*,53
2024-06-01,Windham,*,0,487,*,85
2024-06-01,Windsor,47,0,639,14,76
2024-05-01,Addison,*,0,270,*,232
2024-05-01,Bennington,*,0,534,*,125
2024-05-01,Caledonia,*,0,562,*,110
2024-05-01,Chittenden,41,0,1425,12,234
2024-05-01,Essex,0,0,78,*,*
2024-05-01,Franklin,*,0,525,*,80
2024-05-01,Grand Isle,*,0,62,0,*
2024-05-01,Lamoille,*,0,387,*,12
2024-05-01,Orange,*,0,252,*,26
2024-05-01,Orleans,*,0,399,0,*
2024-05-01,Rutland,*,0,819,*,79
2024-05-01,Washington,*,0,396,*,48
2024-05-01,Windham,*,0,433,*,83
2024-05-01,Windsor,35,0,530,13,67
2024-04-01,Addison,*,0,281,*,216
2024-04-01,Bennington,*,0,530,*,129
2024-04-01,Caledonia,*,0,547,*,108
2024-04-01,Chittenden,41,0,1447,10,234
2024-04-01,Essex,0,0,71,*,*
2024-04-01,Franklin,*,0,519,*,85
2024-04-01,Grand Isle,*,0,64,0,*
2024-04-01,Lamoille,*,0,383,*,11
2024-04-01,Orange,*,0,240,*,25
2024-04-01,Orleans,*,0,390,0,*
2024-04-01,Rutland,*,0,794,*,85
2024-04-01,Washington,*,0,384,*,50
2024-04-01,Windham,*,0,432,*,83
2024-04-01,Windsor,34,0,530,15,68
2024-03-01,Addison,*,0,283,*,194
2024-03-01,Bennington,*,0,504,*,132
2024-03-01,Caledonia,*,0,533,*,94
2024-03-01,Chittenden,36,0,1376,10,238
2024-03-01,Essex,0,0,70,*,*
2024-03-01,Franklin,*,0,489,*,85
2024-03-01,Grand Isle,*,0,60,0,*
2024-03-01,Lamoille,*,0,365,*,13
2024-03-01,Orange,*,0,230,*,28
2024-03-01,Orleans,*,0,386,0,*
2024-03-01,Rutland,*,0,767,*,80
2024-03-01,Washington,*,0,363,*,51
2024-03-01,Windham,34,*,409,*,82
2024-03-01,Windsor,34,0,509,13,64
2024-02-01,Addison,*,0,286,*,180
2024-02-01,Bennington,*,0,484,*,133
2024-02-01,Caledonia,*,0,522,*,83
2024-02-01,Chittenden,35,0,1332,10,236
2024-02-01,Essex,0,0,65,*,*
2024-02-01,Franklin,*,0,493,*,81
2024-02-01,Grand Isle,*,0,61,0,*
2024-02-01,Lamoille,*,0,354,*,11
2024-02-01,Orange,*,0,223,*,23
2024-02-01,Orleans,*,0,392,0,*
2024-02-01,Rutland,*,0,760,*,80
2024-02-01,Washington,*,0,353,*,48
2024-02-01,Windham,33,*,399,*,79
2024-02-01,Windsor,*,0,497,*,67
2024-01-01,Addison,*,0,286,*,173
2024-01-01,Bennington,*,0,484,*,135
2024-01-01,Caledonia,*,0,522,*,81
2024-01-01,Chittenden,35,0,1332,10,231
2024-01-01,Essex,0,0,65,*,*
2024-01-01,Franklin,*,0,493,*,82
2024-01-01,Grand Isle,*,0,61,0,*
2024-01-01,Lamoille,*,0,354,*,11
2024-01-01,Orange,*,0,223,*,21
2024-01-01,Orleans,*,0,392,0,*
2024-01-01,Rutland,*,0,760,*,78
2024-01-01,Washington,*,0,353,*,47
2024-01-01,Windham,33,*,399,*,79
2024-01-01,Windsor,*,0,497,*,66
2023-12-01,Addison,*,0,282,*,161
2023-12-01,Bennington,*,0,478,*,140
2023-12-01,Caledonia,*,0,538,*,81
2023-12-01,Chittenden,34,*,1298,*,238
2023-12-01,Essex,0,0,64,*,*
2023-12-01,Franklin,*,0,504,*,78
2023-12-01,Grand Isle,*,0,54,0,*
2023-12-01,Lamoille,*,0,353,*,12
2023-12-01,Orange,*,0,214,*,22
2023-12-01,Orleans,*,0,401,0,*
2023-12-01,Rutland,*,0,726,*,80
2023-12-01,Washington,*,0,348,*,47
2023-12-01,Windham,38,*,375,*,79
2023-12-01,Windsor,*,0,501,*,63
2023-11-01,Addison,*,0,289,*,153
2023-11-01,Bennington,*,0,465,*,138
2023-11-01,Caledonia,*,0,533,*,76
2023-11-01,Chittenden,36,*,1284,*,241
2023-11-01,Essex,0,0,64,*,*
2023-11-01,Franklin,*,0,488,*,66
2023-11-01,Grand Isle,*,0,53,0,*
2023-11-01,Lamoille,*,0,354,*,13
2023-11-01,Orange,*,0,216,*,20
2023-11-01,Orleans,*,0,397,0,*
2023-11-01,Rutland,*,0,700,*,84
2023-11-01,Washington,*,0,338,*,45
2023-11-01,Windham,36,*,356,*,84
2023-11-01,Windsor,*,0,494,*,58
2023-10-01,Addison,*,0,292,*,154
2023-10-01,Bennington,*,0,477,*,138
2023-10-01,Caledonia,*,0,554,*,71
2023-10-01,Chittenden,35,*,1275,*,246
2023-10-01,Essex,0,0,73,*,*
2023-10-01,Franklin,*,0,497,*,66
2023-10-01,Grand Isle,*,0,51,0,*
2023-10-01,Lamoille,*,0,344,*,15
2023-10-01,Orange,*,0,214,*,20
2023-10-01,Orleans,*,0,396,*,35
2023-10-01,Rutland,*,0,724,*,79
2023-10-01,Washington,*,0,338,*,43
2023-10-01,Windham,38,*,341,*,83
2023-10-01,Windsor,*,0,485,*,56
2023-09-01,Addison,*,0,305,*,147
2023-09-01,Bennington,*,0,492,*,132
2023-09-01,Caledonia,*,0,570,*,74
2023-09-01,Chittenden,37,*,1290,*,258
2023-09-01,Essex,0,0,72,*,*
2023-09-01,Franklin,*,0,524,*,66
2023-09-01,Grand Isle,*,0,55,0,*
2023-09-01,Lamoille,*,0,333,*,17
2023-09-01,Orange,*,0,207,*,21
2023-09-01,Orleans,*,0,411,*,35
2023-09-01,Rutland,*,0,741,*,75
2023-09-01,Washington,*,0,329,*,40
2023-09-01,Windham,40,*,348,*,95
2023-09-01,Windsor,*,0,497,*,58
2023-08-01,Addison,*,0,377,*,131
2023-08-01,Bennington,*,0,550,*,111
2023-08-01,Caledonia,*,0,572,*,67
2023-08-01,Chittenden,40,*,1401,*,269
2023-08-01,Essex,0,0,75,*,*
2023-08-01,Franklin,*,0,521,*,71
2023-08-01,Grand Isle,*,0,61,0,*
2023-08-01,Lamoille,*,0,360,*,19
2023-08-01,Orange,*,0,215,*,17
2023-08-01,Orleans,*,0,398,*,38
2023-08-01,Rutland,*,0,799,*,69
2023-08-01,Washington,*,0,370,*,43
2023-08-01,Windham,40,*,362,*,89
2023-08-01,Windsor,*,0,515,*,56
2023-07-01,Addison,*,0,361,*,98
2023-07-01,Bennington,*,0,556,*,103
2023-07-01,Caledonia,*,0,579,*,63
2023-07-01,Chittenden,42,*,1295,*,242
2023-07-01,Essex,0,0,75,*,*
2023-07-01,Franklin,*,0,526,*,75
2023-07-01,Grand Isle,*,0,66,0,*
2023-07-01,Lamoille,*,0,303,0,*
2023-07-01,Orange,*,0,211,*,12
2023-07-01,Orleans,*,*,389,*,37
2023-07-01,Rutland,*,0,810,*,63
2023-07-01,Washington,*,0,365,*,34
2023-07-01,Windham,34,*,345,*,87
2023-07-01,Windsor,*,0,492,*,50
