Month.Year,AHS District,None of the above,Qualified Immigrant,US Citizen,Unreported
2022-12-01,Bennington District,0,*,411,*
2022-12-01,Brattleboro District,*,*,261,68
2022-12-01,Burlington District,0,18,923,456
2022-12-01,Hartford District,0,*,220,*
2022-12-01,Middlebury District,0,*,302,*
2022-12-01,Morrisville District,0,*,262,*
2022-12-01,Newport District,0,0,279,121
2022-12-01,Rutland District,0,0,690,161
2022-12-01,Springfield District,0,0,313,119
2022-12-01,St. Albans District,*,0,469,*
2022-12-01,St. Johnsbury District,0,0,511,156
2022-11-01,Barre District,0,*,267,*
2022-11-01,Bennington District,0,*,399,*
2022-11-01,Brattleboro District,*,*,252,73
2022-11-01,Burlington District,0,20,889,487
2022-11-01,Hartford District,0,*,220,*
2022-11-01,Middlebury District,0,*,301,*
2022-11-01,Morrisville District,0,*,252,*
2022-11-01,Newport District,0,0,265,128
2022-11-01,Rutland District,0,0,682,176
2022-11-01,Springfield District,0,0,310,129
2022-11-01,St. Albans District,*,0,465,*
2022-11-01,St. Johnsbury District,0,0,463,187
2022-10-01,Barre District,0,*,251,*
2022-10-01,Bennington District,0,*,377,*
2022-10-01,Brattleboro District,*,*,238,94
2022-10-01,Burlington District,0,18,830,521
2022-10-01,Hartford District,0,*,211,*
2022-10-01,Middlebury District,0,*,289,*
2022-10-01,Morrisville District,0,*,231,*
2022-10-01,Newport District,0,0,250,146
2022-10-01,Rutland District,0,0,640,193
2022-10-01,Springfield District,0,0,287,149
2022-10-01,St. Albans District,*,0,441,*
2022-10-01,St. Johnsbury District,0,0,426,214
2022-09-01,Barre District,0,*,232,*
2022-09-01,Bennington District,0,*,371,*
2022-09-01,Brattleboro District,*,*,234,116
2022-09-01,Burlington District,0,18,733,643
2022-09-01,Hartford District,0,*,203,*
2022-09-01,Middlebury District,0,*,281,*
2022-09-01,Morrisville District,0,*,185,*
2022-09-01,Newport District,0,0,236,161
2022-09-01,Rutland District,0,0,619,224
2022-09-01,Springfield District,0,0,267,194
2022-09-01,St. Albans District,*,*,404,245
2022-09-01,St. Johnsbury District,0,0,385,270
2022-08-01,Barre District,0,*,255,*
2022-08-01,Bennington District,0,*,366,*
2022-08-01,Brattleboro District,*,*,204,161
2022-08-01,Burlington District,*,*,612,871
2022-08-01,Hartford District,0,*,220,*
2022-08-01,Middlebury District,0,*,330,*
2022-08-01,Morrisville District,0,*,*,248
2022-08-01,Newport District,0,0,235,181
2022-08-01,Rutland District,0,*,643,*
2022-08-01,Springfield District,0,*,*,256
2022-08-01,St. Albans District,0,*,366,*
2022-08-01,St. Johnsbury District,0,*,342,*
2022-07-01,Barre District,0,*,*,234
2022-07-01,Bennington District,0,*,327,*
2022-07-01,Brattleboro District,0,*,*,201
2022-07-01,Burlington District,*,*,401,967
2022-07-01,Hartford District,0,*,197,*
2022-07-01,Middlebury District,0,*,266,*
2022-07-01,Morrisville District,0,*,*,263
2022-07-01,Newport District,0,0,184,206
2022-07-01,Rutland District,0,*,567,*
2022-07-01,Springfield District,0,*,*,302
2022-07-01,St. Albans District,0,*,*,340
2022-07-01,St. Johnsbury District,0,*,*,381
