Month.Year,AHS District,None of the above,Qualified Immigrant,US Citizen,Unreported
2023-06-01,Barre District,0,*,436,*
2023-06-01,Bennington District,0,*,550,*
2023-06-01,Brattleboro District,*,*,363,31
2023-06-01,Burlington District,*,*,1436,216
2023-06-01,Hartford District,0,0,298,29
2023-06-01,Middlebury District,0,*,446,*
2023-06-01,Morrisville District,0,*,368,*
2023-06-01,Newport District,0,0,354,50
2023-06-01,Rutland District,0,*,820,*
2023-06-01,Springfield District,0,0,450,43
2023-06-01,St. Albans District,*,0,615,*
2023-06-01,St. Johnsbury District,0,*,669,*
2023-05-01,Barre District,0,*,387,*
2023-05-01,Bennington District,0,*,503,*
2023-05-01,Brattleboro District,*,*,322,30
2023-05-01,Burlington District,*,*,1259,203
2023-05-01,Hartford District,0,0,276,30
2023-05-01,Middlebury District,0,*,369,*
2023-05-01,Morrisville District,0,*,342,*
2023-05-01,Newport District,0,0,350,56
2023-05-01,Rutland District,0,*,733,*
2023-05-01,Springfield District,0,0,405,50
2023-05-01,St. Albans District,*,0,570,*
2023-05-01,St. Johnsbury District,0,0,638,67
2023-04-01,Barre District,0,*,379,*
2023-04-01,Bennington District,0,*,496,*
2023-04-01,Brattleboro District,*,*,326,36
2023-04-01,Burlington District,*,*,1256,240
2023-04-01,Hartford District,0,*,279,*
2023-04-01,Middlebury District,0,*,371,*
2023-04-01,Morrisville District,0,*,333,*
2023-04-01,Newport District,0,0,362,58
2023-04-01,Rutland District,0,*,729,*
2023-04-01,Springfield District,0,0,400,65
2023-04-01,St. Albans District,*,0,565,*
2023-04-01,St. Johnsbury District,0,0,628,72
2023-03-01,Barre District,0,*,361,*
2023-03-01,Bennington District,0,*,471,*
2023-03-01,Brattleboro District,*,*,308,43
2023-03-01,Burlington District,*,*,1200,257
2023-03-01,Hartford District,0,*,262,*
2023-03-01,Middlebury District,0,*,358,*
2023-03-01,Morrisville District,0,*,322,*
2023-03-01,Newport District,0,0,349,68
2023-03-01,Rutland District,0,0,717,110
2023-03-01,Springfield District,0,0,378,76
2023-03-01,St. Albans District,*,0,526,*
2023-03-01,St. Johnsbury District,0,0,605,78
2023-02-01,Barre District,0,*,342,*
2023-02-01,Bennington District,0,*,460,*
2023-02-01,Brattleboro District,*,*,294,46
2023-02-01,Burlington District,*,*,1109,314
2023-02-01,Hartford District,0,*,257,*
2023-02-01,Middlebury District,0,*,334,*
2023-02-01,Morrisville District,0,*,315,*
2023-02-01,Newport District,0,0,327,84
2023-02-01,Rutland District,0,0,729,122
2023-02-01,Springfield District,0,0,363,92
2023-02-01,St. Albans District,*,0,507,*
2023-02-01,St. Johnsbury District,0,0,594,88
2023-01-01,Barre District,0,*,317,*
2023-01-01,Bennington District,0,*,430,*
2023-01-01,Brattleboro District,*,*,275,60
2023-01-01,Burlington District,*,*,1010,387
2023-01-01,Hartford District,0,*,233,*
2023-01-01,Middlebury District,0,*,307,*
2023-01-01,Morrisville District,0,*,286,*
2023-01-01,Newport District,0,0,311,102
2023-01-01,Rutland District,0,0,722,133
2023-01-01,Springfield District,0,0,334,108
2023-01-01,St. Albans District,*,0,498,*
2023-01-01,St. Johnsbury District,0,0,568,117
2022-12-01,Barre District,0,*,272,*
