Month.Year,AHS District,Female,Male,Non-binary,Prefer not to answer,Prefer to self-describe,Unknown
2022-10-01,St. Johnsbury District,332,308,0,0,0,0
2022-09-01,Barre District,*,205,0,*,0,0
2022-09-01,Bennington District,290,288,0,0,0,0
2022-09-01,Brattleboro District,164,191,0,0,0,0
2022-09-01,Burlington District,735,659,0,0,0,0
2022-09-01,Hartford District,135,149,0,0,0,0
2022-09-01,Middlebury District,193,189,0,0,0,0
2022-09-01,Morrisville District,183,181,0,0,0,0
2022-09-01,Newport District,189,208,0,0,0,0
2022-09-01,Rutland District,430,413,0,0,0,0
2022-09-01,Springfield District,229,232,0,0,0,0
2022-09-01,St. Albans District,332,*,0,*,0,0
2022-09-01,St. Johnsbury District,335,320,0,0,0,0
2022-08-01,Barre District,216,244,*,*,0,0
2022-08-01,Bennington District,312,324,0,0,0,0
2022-08-01,Brattleboro District,170,202,0,0,0,0
2022-08-01,Burlington District,785,*,0,*,0,0
2022-08-01,Hartford District,155,191,0,0,0,0
2022-08-01,Middlebury District,234,242,0,0,0,0
2022-08-01,Morrisville District,204,192,0,0,0,0
2022-08-01,Newport District,206,210,0,0,0,0
2022-08-01,Rutland District,466,463,0,0,0,0
2022-08-01,Springfield District,243,241,0,0,0,0
2022-08-01,St. Albans District,339,331,0,0,0,0
2022-08-01,St. Johnsbury District,355,327,0,0,0,0
2022-07-01,Barre District,*,219,*,0,0,0
2022-07-01,Bennington District,314,324,0,0,0,0
2022-07-01,Brattleboro District,153,170,0,0,0,0
2022-07-01,Burlington District,721,657,0,0,0,0
2022-07-01,Hartford District,146,184,0,0,0,0
2022-07-01,Middlebury District,210,222,0,0,0,0
2022-07-01,Morrisville District,178,166,0,0,0,0
2022-07-01,Newport District,192,198,0,0,0,0
2022-07-01,Rutland District,435,438,0,0,0,0
2022-07-01,Springfield District,222,221,0,0,0,0
2022-07-01,St. Albans District,328,324,0,0,0,0
2022-07-01,St. Johnsbury District,336,299,0,0,0,0
