Month.Year,County,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2024-09-01,Addison,*,0,270,*,313
2024-09-01,Bennington,*,0,613,*,76
2024-09-01,Caledonia,*,0,615,*,127
2024-09-01,Chittenden,54,0,1564,18,229
2024-09-01,Essex,0,0,80,*,*
2024-09-01,Franklin,*,0,601,*,81
2024-09-01,Grand Isle,*,0,71,0,*
2024-09-01,Lamoille,*,0,407,*,15
2024-09-01,Orange,*,0,285,*,30
2024-09-01,Orleans,*,0,409,*,55
2024-09-01,Rutland,39,0,858,20,100
2024-09-01,Washington,*,0,427,*,37
2024-09-01,Windham,50,0,489,10,89
2024-09-01,Windsor,47,0,626,15,75
2024-08-01,Addison,*,0,337,*,326
2024-08-01,Bennington,*,0,641,*,94
2024-08-01,Caledonia,*,0,619,*,122
2024-08-01,Chittenden,54,0,1721,17,274
2024-08-01,Essex,0,0,77,*,*
2024-08-01,Franklin,*,0,602,*,76
2024-08-01,Grand Isle,*,0,75,0,*
2024-08-01,Lamoille,*,0,430,*,13
2024-08-01,Orange,*,0,283,*,32
2024-08-01,Orleans,*,0,413,*,51
2024-08-01,Rutland,43,0,963,14,100
2024-08-01,Washington,*,0,465,*,52
2024-08-01,Windham,*,0,510,*,92
2024-08-01,Windsor,51,0,651,15,77
2024-07-01,Addison,*,0,303,*,270
2024-07-01,Bennington,*,0,610,*,106
2024-07-01,Caledonia,*,0,591,*,115
2024-07-01,Chittenden,46,0,1588,18,247
2024-07-01,Essex,0,0,76,*,*
2024-07-01,Franklin,*,0,584,*,82
2024-07-01,Grand Isle,*,0,63,0,*
2024-07-01,Lamoille,*,0,373,*,13
2024-07-01,Orange,*,0,264,*,26
2024-07-01,Orleans,*,0,394,0,*
2024-07-01,Rutland,39,0,938,13,91
2024-07-01,Washington,*,0,426,*,48
2024-07-01,Windham,*,0,450,*,81
2024-07-01,Windsor,48,0,610,15,74
