Month.Year,AHS District,Hispanic,Native American,Non Hispanic,Unknown,Unreported
2022-09-01,Rutland District,22,0,798,*,*
2022-09-01,Springfield District,22,0,426,*,*
2022-09-01,St. Albans District,*,0,594,*,41
2022-09-01,St. Johnsbury District,*,0,608,*,30
2022-08-01,Barre District,12,0,443,*,*
2022-08-01,Bennington District,*,0,591,*,25
2022-08-01,Brattleboro District,*,0,296,*,49
2022-08-01,Burlington District,*,0,1389,*,67
2022-08-01,Hartford District,*,0,327,0,*
2022-08-01,Middlebury District,*,0,422,*,39
2022-08-01,Morrisville District,*,0,386,0,*
2022-08-01,Newport District,*,0,395,*,15
2022-08-01,Rutland District,25,0,885,*,*
2022-08-01,Springfield District,25,0,450,*,*
2022-08-01,St. Albans District,15,0,627,0,28
2022-08-01,St. Johnsbury District,*,0,636,*,28
2022-07-01,Barre District,*,0,416,0,*
2022-07-01,Bennington District,21,0,603,*,*
2022-07-01,Brattleboro District,21,0,286,*,*
2022-07-01,Burlington District,39,0,1304,*,*
2022-07-01,Hartford District,*,0,319,0,*
2022-07-01,Middlebury District,14,0,401,0,17
2022-07-01,Morrisville District,*,0,338,0,*
2022-07-01,Newport District,*,0,373,*,11
2022-07-01,Rutland District,23,0,841,*,*
2022-07-01,Springfield District,*,0,415,0,*
2022-07-01,St. Albans District,12,0,622,0,18
2022-07-01,St. Johnsbury District,*,0,609,*,14
